ec_no,reg_no,category,model,year,fuel
AP-01,,Asphalt Paver,Sumitomo Ha45C-2065,2012,Diesel
AP-02,,Asphalt Paver,Mitsubishi Mf40Wh,2013,Diesel
AP-03,,Asphalt Paver,Mitsubishi Mf-55Wh,2014,Diesel
AP-04,,Asphalt Paver,Mitsubishi Mf60Wd,2014,Diesel
AP-05,,Asphalt Paver,Nigata —,2012,Diesel
AP-06,,Asphalt Paver,,,Diesel
AP-07,,Asphalt Paver,,,Diesel
AP-08,,Asphalt Paver,Volvo P6820C,2019,Diesel
AP-09,,Asphalt Paver,Sumitomo Ha60W-7,2012,Diesel
AP-10,,Asphalt Paver,Dynapac Sd2500C,2020,Diesel
AP-11,,Asphalt Paver,Sumitomo Ha60W-5,2006,Diesel
LB-01,ZA-2609,Backhoe Loader,Jcb 3Dx,2012,Diesel
LB-02,ZA-2963,Backhoe Loader,Jcb 3Dx,2012,Diesel
LB-03,ZA-2964,Backhoe Loader,Jcb 3Dx,2012,Diesel
LB-04,RS-0401,Backhoe Loader,Jcb Slp3Cx,1999,Diesel
LB-05,RS-0483,Backhoe Loader,Jcb 3Dx,2006,Diesel
LB-06,ZA-0447,Backhoe Loader,Jcb 3Cx,2002,Diesel
LB-07,ZA-2608,Backhoe Loader,Jcb Jcb 3Cx,2004,Diesel
LB-08,ZA-6068,Backhoe Loader,Jcb Jcb 3Dx,2015,Diesel
LB-09,ZA-6069,Backhoe Loader,Jcb 3Dx,2015,Diesel
LB-10,ZA-7034,Backhoe Loader,Jcb Jcb 3Dx,2016,Diesel
LB-11,ZA-7092,Backhoe Loader,Jcb 3Dx,2016,Diesel
LB-12,ZA-8337,Backhoe Loader,Jcb 3Dx,2016,Diesel
LB-13,ZA-7965,Backhoe Loader,Jcb 3Dx,2016,Diesel
LB-14,ZA-7968,Backhoe Loader,Jcb Jcb 3Dx,2016,Diesel
LB-15,ZB-1047,Backhoe Loader,J.C.B 570St,2019,Diesel
LB-16,ZB-1547,Backhoe Loader,J.C.B 3Dx,2020,Diesel
LB-17,ZB-1546,Backhoe Loader,J.C.B 3Dx,2020,Diesel
LB-18,ZB-1548,Backhoe Loader,J.C.B 3Dx,2020,Diesel
LB-19,ZB-1978,Backhoe Loader,J.C.B Jcb 3Dx,2020,Diesel
LB-19,ZB-1979,Backhoe Loader,J.C.B 3Dx,2020,Diesel
