Job no,Ref.,Vehicle,Repair Description,Start,End,Hrs,Cost,Site,Remarks
2023/12/R/658,23-658,40-8060,"Tinkering & painting, Engine repair(replaced E/head, water pump with fan blade, heater plug, radiator hose, fan belt 6450, 6440,radiator cleaning, injector pump service), repaired gear cable, Starter motor repair(motor clutch),suspension repair(drag link assy.tie rod end repair) ,wiper spindle, floor board carpet,tail light lence 2, seat cushion,   ",2023-12-12,2024-05-15,377,442794.65,Galenbidunuwewa,MNW
2024/1/R/063,24-063,HS-1794,"Engine minor repair(replaced gasket,head facing, check valve seat, valve seal kit, manifold stud & nut, Exhaust manifold, radiator hose, radiator mount, accelerator ball joint,radiator cooler, injector chamber washer, fan belt, water manifolt rubber hose, water cooler,injector pump & nozzel service, engine machine work repair-Edirisinghe ) ,elec .repair(head light , starter switch, push button swithc, tail light,), brake chamber repair2, brake chamber spring 2, engine stop cable, wiper blades, wiper arm, wiper groove, service wash & grease, ",2024-02-16,2024-04-30,168,134947.92,cep-03,
2024/2/R/112,24-112,SL-03,"Replaced travelling motor seal, engine mount 4, hy. Pump oil seal, (removed engine with Hy. Pump out side of  the machine to check hy. Leak), replaced air cleaner suction hose, top up hy. HD 46 oil, wash & grease",2024-03-09,2024-05-28,120,144156,cep-03,
2024/3/R/161,24-604,SL-09,"replaced travelling motor seal 2,engine mount",2024-03-09,2024-06-13,20,159100,cep-03,
2024/3/R/176,24-161,PTR-05,"change roof,wash & grease , check battery water, E/oil & hy.level, brake oil, check brakes, clutch system",2024-03-13,2024-05-06,60,17400,cep-03,
2024/3/R/180,24-176,ZA-8373,agitator oil seal,2024-03-13,2024-04-20,1,9030,cep-03,
2024/3/R/196,24-196,68-5115,"Battery charging line checked & repaired, check horn -ok, starter motor repaired, Replced king pin R/kit, wire harness repair(battery discharging when switch off starter key-Ex. Kamal katana, adjusted brakes F & R, replaced brake washers, tie rod end, winder cable repair",2024-03-30,2024-05-28,82,64462.18,Thalawa,
2024/3/R/198,24-180,AP-11,Replaced blower fan(removed fan from AP-09 & sent to asphalt team Thanthirimale),2024-03-18,2024-03-20,1,300,Thanthirimale,
2024/3/R/213,24-213,PA-6399,"Engine overhaul (Replaced engine head-recondition, head checked with Edirisinghe, block faced, replaced sleeve, piston ,rings, con .rods, big end bearing, main bearing, thrust bearing, gudgeon pin bush, overhaul packing kit, inlet air hose, fan belt, p/s belt, radiator hose, R/cap,valve guide,crank wheel,), p/s oil leak repair, clutch R/kit, brake caliper assy. , starter motor repair(armature)",2024-03-30,2024-05-04,155,496025.52,Thalawa,MNW
2024/3/R/236,24-236,HEX-29,"Replaced engine mount, travelling motor oil leak repair, wash & grease , due to high cost of repair, AC was not repaired, removed counter weight for E/mount replacement, & assemble, ",2024-03-30,2024-06-07,51,62109,Erawur,
2024/3/R/237,24-198,LL-0920,"Replaced king pin R/kit, wheel cylinders4 , hub bearing inner, outer, both sides, drag link R/kit, tie rod ends",2024-04-19,2024-05-03,32,83360,cep-03,
2024/3/R/238,24-237,LC-0434,"replaced clutch master pump, clutch oil tank hose, speed meter cable",2024-04-02,2024-04-04,18,14030,Erawur,388048Km
