No,job no,spare parts,Ex.cost,Labor,Total
1,267-1,15225,,5600,20825
2,265,2315,,2500,4815
3,264,13875,,5000,18875
4,261,18980,29300,,48280
5,260,25000,,,25000
6,259,29850,,1825,31675
7,258,8812,,5000,13812
8,257,19600,,1750,21350
9,255,19000,,,19000
10,252,35200,,7475,42675
11,250,800,,1050,1850
12,249,3800,,350,4150
13,248,8250,8500,3075,19825
14,247,6200,,12650,18850
15,246,640,,900,1540
16,245,16000,,2800,18800
17,243,,,4800,4800
18,242,,4100,,4100
19,241,,15000,,15000
20,240,35300,,5000,40300
21,239,103200,,3500,106700
22,238,57228,,15150,72378
23,236,740,,900,1640
24,235,740,,1125,1865
25,234,17064,,2100,19164
26,233,2850,8000,700,11550
27,232,58200,,4675,62875
28,231,407926.51,4000,15325,427251.51
29,227,11291,,1200,12491
30,226,22200,2800,1200,26200
31,225,40256,,17200,57456
32,224,5415,,3000,8415
33,223,12500,3500,,16000
34,222,,32000,,32000
35,221,,,,0
36,220,,27000,,27000
37,219,1930,,1050,2980
38,218,80,,1200,1280
39,217,13544,,5800,19344
40,216,2553,,1725,4278
41,215,32400,,1200,33600
42,214,,,2700,2700
43,213,3800,,1750,5550
44,212,3775,,2800,6575
45,208,13450,,,13450
46,211,5828,5907,3450,15185
47,207,9750,109275,3900,122925
48,205,19500,,2250,21750
49,204,38380,,14850,53230
50,203,,,2150,2150
51,202,,10500,900,11400
52,201,42005,,,42005
53,200,80835,,15450,96285
54,199,1900,,2100,4000
55,198,2750,2800,,5550
56,197,16212,4700,2000,22912
57,196,34440,,2100,36540
58,195,19950,,4700,24650
59,194,30,2500,1050,3580
60,193-1,,,,0
61,193,32000,,,32000
62,192,32000,,5000,37000
63,191,224000,,,224000
64,190,37000,,2625,39625
65,189,2700,,1400,4100
66,188,18000,,2100,20100
67,187,,4100,600,4700
68,186,3140,,900,4040
69,185,3540,,1300,4840
70,184,23315,,4300,27615
71,181,17284,10300,5600,33184
72,180,4700,,1200,5900
73,179,,28000,,28000
74,178,12500,18500,1200,32200
75,172,7900,17000,1125,26025
76,167,80000,,,80000
77,166,55950,,,55950
78,165,135950,,,135950
79,161,1375,,5300,6675
80,160,42005,5750,6850,54605
81,140,79408,,18675,98083
82,130,3050,,4900,7950
83,120,165050,16000,18725,199775
84,111,33003,,15750,48753
85,970,43750,236569.75,4900,285219.75
86,83,90040,,8100,98140
87,62,24780,,16875,41655
88,32,,,,0
89,4,8150,,1750,9900
,,2522159.51,606101.75,328150,3456411.26
1,17,24994,9950,10375,45319
2,155,259954,65000,25950,350904
3,206,85762,,11800,97562
4,229,2850,,3700,6550
5,230,123372,17500,9650,150522
6,237,41936,111500,1800,155236
7,244,13000,175500,14900,203400
8,253,10455,12000,4200,26655
9,254,81750,,,81750
10,256,11950,,1400,13350
11,262,43078,,9225,52303
12,263,73528,23500,15000,112028
13,267,45100,,2500,47600
14,268,29340,,3500,32840
15,269,33300,,8250,41550
16,270,34300,,,34300
17,272,7200,,,7200
18,273,13500,,,13500
19,274,29750,,,29750
20,277,17780,,4900,22680
21,278,3640,,4050,7690
22,282,2800,10000,1200,14000
23,283,10654,8500,3700,22854
24,284,29254,,2800,32054
25,285,190,18000,300,18490
26,286,55130,,6300,61430
27,287,26054,,2800,28854
28,288,33887,7500,,41387
29,288-1,,22900,,22900
30,289,36000,,5600,41600
31,291,14680,,,14680
32,292,23600,2000,5575,31175
33,294,485,,900,1385
34,295,1450,,350,1800
35,296,,18500,,18500
36,297,840,,900,1740
37,300,8137,6000,4600,18737
38,303,20600,,1750,22350
39,304,7850,,1650,9500
40,305,91893,271500,2500,365893
41,306,,,6000,6000
42,307,,,8000,8000
43,309,2770,,900,3670
44,310,1900,,900,2800
45,312,3640,,2000,5640
46,316,10200,,,10200
47,321,1100,,1500,2600
,,1369653,779850,191425,2340928
1,46,2500,,,2500
2,276,88065,27950,18400,134415
3,298,19290,,7650,26940
4,299,65204,,22900,88104
5,301,103202,,20200,123402
6,302,9214,18000,4075,31289
7,313,175781,2500,24750,203031
8,314,29515,,11150,40665
9,315,,15000,,15000
10,315-1,17318,48000,10200,75518
11,318,44080,,14900,58980
12,320,8500,,,8500
13,322,80000,,,80000
14,325,35090,6000,9900,50990
15,326,6825,,4650,11475
16,328,71300,,10400,81700
17,329,49500,9500,9300,68300
18,331,4900,,5400,10300
19,332,6350,,2800,9150
20,333,80040,,11700,91740
21,336,35610,14500,9750,59860
22,337,10960,1800,4900,17660
23,338,150,,1800,1950
24,339,75009,3000,9125,87134
25,340,,18000,,18000
26,341,3443,,,3443
27,342,1500,,2800,4300
28,343,76690,,6875,83565
