DATE,JOB NO,Vehicle No,DESCRIPTION,Labor cost,filter cost,oil cost,Total cost,Remarks
27.04.2025,2025/4/S/188,ZB-0050,filter only,1500,32606,,34106,
27.04.2025,,LP-1718,"gear box,pinion oil",1500,,32126,33626,
27.04.2025,,LP-1710,"gear box,pinion oil",1500,,32126,33626,
27.04.2025,,LP-1567,pinion oil,1000,,19328,20328,
27.04.2025,,LP-1712,"gear box,pinion oil",1500,,32126,33626,
26.04.2025,,LP-1715,"gear box,pinion oil",1500,,32126,33626,
26.04.2025,,MG-13,500hr service,1500,8304,22000,31804,
26.04.2025,,RS-0483,Rear axel oil change,1500,,35550,37050,
26.04.2025,,LP-1581,"gear box,pinion oil",1500,,32126,33626,
25.04.2025,,LP-1582,"gear box,pinion oil",1500,,32126,33626,
25.04.2025,,LP-1579,"gear box,pinion oil",1500,,32126,33626,
25.04.2025,,LP-1719,"gear box,pinion oil",1500,,32126,33626,
24.04.2025,,ZA-7810,E/oil top up,250,,2750,3000,
24.04.2025,,ZA-8445,"filter change,grease",250,14020,2356,16626,
05.04.2025,,ZA-8445,pinion oil,250,,11376,11626,
03.04.2025,,MG-17,500hr service,2000,17304,57340,76644,
03.04.2025,2025/3/S/183,LO-5983,18000km service,1500,32606,22000,56106,
03.04.2025,2025/4/S/182,LN-8277,10000Km service,1750,16226,34375,52351,
03.04.2025,2025/4/S/181,HEX-45,500hr service,1750,22101,24750,48601,
03.04.2025,2025/4/S/180,ZB-1980,500hr service,1500,43712,48295,93507,750757
,,,2025-04-01 00:00:00,26750,186879,537128,,
10.03.2025,,ZB-1546,500hr service,1500,15700,23890,41090,
11.03.2025,,MG-05,hy top up,750,,4640,5390,
11.03.2025,,SL-08,500hr service,1000,8054,19765,28819,
11.03.2025,,MG-08,500hr service,1500,19900,24750,46150,
19.03.2025,,ZA-8033,20000Km service,1500,21751,22000,45251,
19.03.2025,,ZA-8033 R/Eng,300Hr service,1000,3924,15125,20049,
19.03.2025,,GE-147,,1000,1998,,2998,
19.03.2025,,PC-02,500hr service,1750,34810,,36560,
29.03.2025,,MGS-01,500hr service,1500,11499,23422,36421,
27.03.2025,,VR-68,500hr service,1000,5084,12375,18459,
27.03.2025,,ZB-2583,500hr service,1250,25297,13750,40297,
25.03.2025,,MG-15,500hr service,1500,,29644,31144,
27.03.2025,,LP-1711,20000Km service,1750,32609,24750,59109,
28.03.2025,,LO-4822,18000km service,1750,11201,28174,41125,
27.03.2025,,LN-1867,8000Km service,1250,4998,12375,18623,
27.03.2025,,PA-6398,8000Km service,1000,1818,8250,11068,
24.03.2025,,40-8060,8000Km service,1000,1818,8250,11068,
24.03.2025,,ZA-7034,500hr service,1500,15700,26481,43681,
26.03.2024,,MG-14,500hr service,1500,3800,24954,30254,
26.03.2024,,ZA-7965,500hr service,1500,15700,20672,37872,
26.03.2024,,LO-4821,300Hr service,1250,9950,22000,33200,
25.03.2025,,HEX-17,500hr service,1750,6820,46499,55069,
26.03.2024,,ZB-1047,500hr service,1250,3799,13750,18799,
25.03.2025,,RS-0483,500hr service,1500,7800,23984,33284,
28.03.2025,,PTR-01,250Hr service,1500,4956,20625,27081,
26.03.2025,,SRS-03,500hr service,1250,12950,15282,29482,
26.03.2025,,VR-10,500hr service,1250,6469,13750,21469,
21.03.2025,,HEX-05,hy. top up,250,,4640,4890,
27.03.2025,,43-3416,E/oil top up,250,,8250,8500,
08.03.2025,,ZB-1547,500hr service,1000,15700,19470,36170,
08.03.2025,,RD-3537,500hr service,1000,2400,11929,15329,
08.03.2025,,RD-6318,500hr service,750,1100,12856,14706,
08.03.2025,,AC-24,500hr service,1000,4099,8937,14036,
08.03.2025,,51-7158,5000Km service,750,2375,5500,8625,
10.03.2025,,MG-18,500hr service,1250,4900,24750,30900,
10.03.2025,,SR-18,500hr service,1000,6800,15125,22925,
10.03.2025,,SR-11,500hr service,1000,9300,13750,24050,1003943
,,,2025-03-01 00:00:00,44500,335079,624364,,
03.05.2025,,GE-60,500hr service,1750,5253,35750,42753,
03.05.2025,,GE-69,500hr service,1750,15593,38500,55843,
03.05.2025,,GE-37,500hr service,1750,9575,34375,45700,
03.05.2025,,DAH-2229,10000Km service,1000,4491,8250,13741,
03.05.2025,,MG-07,500hr service,2900,11238,17875,32013,
10.05.2025,,SR-19,500hr service,1500,9937,16534,27971,
10.05.2025,,51-8083,8000Km service,1850,4733,8250,14833,
09.05.2025,,HEX-41,500hr service,1750,16689,33000,51439,
09.05.2025,,HEX-37,500hr service,2000,26651,41250,69901,
09.05.2025,,HEX-01,500hr service,2000,27117,43242,72359,
02.05.2025,,ZB-2587,500hr service,1600,24565,13750,39915,
02.05.2025,,HEX-36,500hr service,1500,1737,24155,27392,
01.05.2025,,GL-0019,50000Km service,3750,27541,47926,79217,
02.05.2025,,PY-2408,8000Km service,1000,950,8937.5,10887.5,
02.05.2025,,LB-4824,8000Km service,1000,2250,8935,12185,
09.05.2025,,SL-24,air filter change only,250,6940,,7190,
09.05.2025,,SR-11,air filter change only,250,28000,,28250,
10.05.2025,,LO-5981,20000Km service,1500,32606,22000,56106,
13.05.2025,,AC-25,500hr service,1800,3021,13750,18571,
18.05.2025,,PD-7049,30000Km service,2600,10791,9625,23016,
19.05.2025,,LK-2366,20000Km service,2450,3120,40215,45785,
19.05.2025,,AC-02,500hr service,1850,35799,50222,87871,
21.05.2025,,LO-5983,80000Km service,1850,,30038,31888,
21.05.2025,,LO-4816,80000Km service,1850,,30038,31888,
21.05.2025,,LM-6653,500hr service,3350,10260,96751,110361,
21.05.2025,,LO-5985,80000Km service,1300,18662,,19962,
22.05.2025,,LK-2276,gear oil change only,1200,,9426,10626,
23.05.2025,,LO-7184,80000Km service,1950,6966,31230,40146,
24.05.2025,,ZB-1521,500hr service,2400,31414,22068,55882,
25.05.2025,,57-3062,10000Km service,2800,8128,10107,21035,
25.05.2025,,LN-8278,20000Km service,3300,8208,17875,29383,
27.05.2025,,LO-7182,"gear box,pinion oil",1850,,31230,33080,
28.05.2025,,LN-8277,"gear box,pinion oil",2350,,68887,71237,
23.05.2025,,LB-01,500hr service,2600,45726,19250,67576,
10.05.2025,,68-5115,8000Km service,2050,3940,8250,14240,
23.05.2025,,ZA-7092,500hr service,2950,41675,33170,77795,
24.05.2025,,LP-1576,gear oil change only,1150,1778,14139,17067,
29.05.2025,,LI-7618,pinion oil,1700,,18662,20362,
25.05.2025,,GE-145,250Hr service,1050,,2750,3800,
10.05.2025,,AC-38,500hr service,1850,1737,11886,15473,
29.05.2025,,LI-7701,gear oil change only,1150,,12568,13718,
