id,raw_text,raw_norm,target_type,asset_id,project_id,resolved,hit_count,created_at,updated_at
1,LO-4925,LO4925,,,,0,5,2026-06-18 12:54:09,2026-06-18 12:54:09
2,CM-33,CM33,,,,0,3,2026-06-18 12:54:09,2026-06-18 12:54:09
3,Electric Compressor,ELECTRICCOMPRESSOR,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
4,41-7225,417225,,,,0,3,2026-06-18 12:54:09,2026-06-18 12:54:09
5,ASC-21,ASC21,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
6,PD-7049,PD7049,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
7,AC-37,AC37,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
8,51-7155,517155,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
9,LG-1617,LG1617,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
10,TRN-17,TRN17,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
11,LB-25,LB25,,,,0,4,2026-06-18 12:54:09,2026-06-18 12:54:09
12,AC-38,AC38,,,,0,5,2026-06-18 12:54:09,2026-06-18 12:54:09
13,TRN-18,TRN18,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
14,Maravila Rd Project,MARAVILARDPROJECT,,,,0,3,2026-06-18 12:54:09,2026-06-18 12:54:09
15,GE-131,GE131,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
16,GE-39,GE39,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
17,GE-152,GE152,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
18,Porker Engine-,PORKERENGINE,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
19,Porker Engine-S/N-C-756310,PORKERENGINESNC756310,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
20,ASC-25,ASC25,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
21,ASC-20,ASC20,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
22,Plate Compactor(S/N-R 4411 ),PLATECOMPACTORSNR4411,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
23,LO-7855,LO7855,,,,0,8,2026-06-18 12:54:09,2026-06-18 12:54:09
24,Water Pump S/N-C-129657,WATERPUMPSNC129657,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
25,48-8072,488072,,,,0,4,2026-06-18 12:54:09,2026-06-18 12:54:09
26,28-4814,284814,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
27,Avissawella Bridge,AVISSAWELLABRIDGE,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
28,01 Ton Roller S/N-0509047,01TONROLLERSN0509047,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
29,Fabrication Chain Saw,FABRICATIONCHAINSAW,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
30,I-Road EP-LOT/03,IROADEPLOT03,,,,0,3,2026-06-18 12:54:09,2026-06-18 12:54:09
31,RF-8340,RF8340,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
32,PA-6376,PA6376,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
33,Poker Engine-17090328,POKERENGINE17090328,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
34,Poker Engine-ES-1811006.1,POKERENGINEES18110061,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
35,AC-25,AC25,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
36,NEW Water Pump Engine,NEWWATERPUMPENGINE,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
37,"4"" Water Pump",4WATERPUMP,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
38,Kotugoda Bridge Site,KOTUGODABRIDGESITE,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
39,LO-0434,LO0434,,,,0,3,2026-06-18 12:54:09,2026-06-18 12:54:09
40,ZA-8395-CR/01,ZA8395CR01,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
41,GE-147,GE147,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
42,ZB-2587/Bobcat JCB,ZB2587BOBCATJCB,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
43,LB-11 / ZA-7092,LB11ZA7092,,,,0,3,2026-06-18 12:54:09,2026-06-18 12:54:09
44,GE-62,GE62,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
45,GE-104,GE104,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
46,GE-82,GE82,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
47,ZA-8511-Front Engine,ZA8511FRONTENGINE,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
48,ZA-8511-Rear Engine,ZA8511REARENGINE,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
49,Air Filter-ZA-8511,AIRFILTERZA8511,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
50,LD-8,LD8,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
51,BOI-8556,BOI8556,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
52,SL-01,SL01,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
53,ASP-03,ASP03,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
54,325-5720,3255720,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
55,RH-3052,RH3052,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
56,GE-30,GE30,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
57,01Bags Co.Mixer,01BAGSCOMIXER,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
58,File hammer,FILEHAMMER,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
59,Karture,KARTURE,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
60,C.Com,CCOM,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
61,Ambanpola W/Project,AMBANPOLAWPROJECT,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
62,LB-01/ZA-2609,LB01ZA2609,,,,0,4,2026-06-18 12:54:09,2026-06-18 12:54:09
63,ZA-0447 JCB,ZA0447JCB,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
64,LK-5068,LK5068,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
65,NBRO Kalalgamuwa,NBROKALALGAMUWA,,,,0,4,2026-06-18 12:54:09,2026-06-18 12:54:09
66,Auto Baxs,AUTOBAXS,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
67,TR-01,TR01,,,,0,5,2026-06-18 12:54:09,2026-06-18 12:54:09
68,ZA-5474,ZA5474,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
69,Mallawagedara-SR-19,MALLAWAGEDARASR19,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
70,BT-03 ( Kalawanchikudi ),BT03KALAWANCHIKUDI,,,,0,3,2026-06-18 12:54:09,2026-06-18 12:54:09
71,I C DP-LOT/03,ICDPLOT03,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
72,ZB-1521,ZB1521,,,,0,5,2026-06-18 12:54:09,2026-06-18 12:54:09
73,Hydraulic Press Macine,HYDRAULICPRESSMACINE,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
74,Mallawagedara-Bridge,MALLAWAGEDARABRIDGE,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
75,ICDP-LOT/02,ICDPLOT02,,,,0,3,2026-06-18 12:54:09,2026-06-18 12:54:09
76,Pallan Oya Bridge Site Ampara,PALLANOYABRIDGESITEAMPARA,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
77,LI-4524,LI4524,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
78,Awissawella Bridge Project,AWISSAWELLABRIDGEPROJECT,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
79,FL-01,FL01,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
80,ZB-1047/LB-15,ZB1047LB15,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
81,Gampha Bridge,GAMPHABRIDGE,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
82,LOT/03 (295),LOT03295,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
83,LOT/03BT (276),LOT03BT276,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
84,ZB-1548/  LB-18,ZB1548LB18,,,,0,3,2026-06-18 12:54:09,2026-06-18 12:54:09
85,01 Ton Roller,01TONROLLER,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
86,EP/LOT-04,EPLOT04,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
87,ZB-1568 (Gampaha),ZB1568GAMPAHA,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
88,Baticoloa Lot 2,BATICOLOALOT2,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
89,ZA-9716-CR/02,ZA9716CR02,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
90,Bridge No.01& 02-Karathiu,BRIDGENO0102KARATHIU,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
91,Hydraulic Hose Pump,HYDRAULICHOSEPUMP,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
92,Batching Plant,BATCHINGPLANT,,,,0,4,2026-06-18 12:54:09,2026-06-18 12:54:09
93,DAH-4491,DAH4491,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
94,LO-4524,LO4524,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
95,ZB-1469 Tor Bowser,ZB1469TORBOWSER,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
96,I Road Pro/EP/LOT-03,IROADPROEPLOT03,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
97,PV-6399,PV6399,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
98,New Stone Block Plant,NEWSTONEBLOCKPLANT,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
99,01Bag Cn.Mixer,01BAGCNMIXER,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
100,Mundalama State,MUNDALAMASTATE,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
101,TR-01-Serunuwara,TR01SERUNUWARA,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
102,New Con.Mixer-CM-33,NEWCONMIXERCM33,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
103,Karathiu Bridge Site,KARATHIUBRIDGESITE,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
104,Bar Cutting Machine-Fabricate,BARCUTTINGMACHINEFABRICATE,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
105,Grease gun,GREASEGUN,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
106,A/Plant,APLANT,,,,0,3,2026-06-18 12:54:09,2026-06-18 12:54:09
107,Laboratory,LABORATORY,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
108,Concrete Plant,CONCRETEPLANT,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
109,H/O,HO,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
110,Kotugoda brdge site,KOTUGODABRDGESITE,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
111,HEX-1,HEX1,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
112,SR-01,SR01,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
113,YARD,YARD,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
114,MGS-01,MGS01,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
115,Servce Bay,SERVCEBAY,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
116,Alternater Cleanig,ALTERNATERCLEANIG,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
117,GE-04,GE04,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
118,Light Plant Clean,LIGHTPLANTCLEAN,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
119,Guarden Clean,GUARDENCLEAN,,,,0,3,2026-06-18 12:54:09,2026-06-18 12:54:09
120,Air Compressor,AIRCOMPRESSOR,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
121,253-2576,2532576,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
122,LM-8278,LM8278,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
123,Motor Washing,MOTORWASHING,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
124,LK-2266,LK2266,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
125,AC-34,AC34,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
126,GE-143,GE143,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
127,STORES R/ENGINE R CLE.,STORESRENGINERCLE,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
128,WASHING,WASHING,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
129,LK-4051,LK4051,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
130,JCB,JCB,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
131,IN-9046,IN9046,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
132,UR-42,UR42,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
133,AS PLANT,ASPLANT,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
134,WASHING (W/S spares),WASHINGWSSPARES,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
135,SPARES CLEANING W/S,SPARESCLEANINGWS,,,,0,4,2026-06-18 12:54:09,2026-06-18 12:54:09
136,LE-0434,LE0434,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
137,WINDOW CLEANING(stores),WINDOWCLEANINGSTORES,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
138,LE-4849,LE4849,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
139,BOMAG-138 s/n,BOMAG138SN,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
140,PLATE COMPACTOR,PLATECOMPACTOR,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
141,WATER PUMP (S/N),WATERPUMPSN,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
142,GE-126,GE126,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
143,PE-7812,PE7812,,,,0,2,2026-06-18 12:54:09,2026-06-18 12:54:09
144,stores cleaning glass clean,STORESCLEANINGGLASSCLEAN,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
145,WP-68,WP68,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
146,GE-119,GE119,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
147,SPARES CLEANING (VR-12/VR-09/LT-1.5,SPARESCLEANINGVR12VR09LT15,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
148,PLUG CLEANING,PLUGCLEANING,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
149,PTR-02/07/09,PTR020709,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
150,TR-05,TR05,,,,0,1,2026-06-18 12:54:09,2026-06-18 12:54:09
