id,vehicle_no,vehicle_no_norm,serial_no,serial_no_norm,note,photo_path,created_by,created_at
1,HEX-21,HEX21,E01504B4M140255863,E01504B4M140255863,90Ah,/uploads/batteries/1782280121512_06729feb5f9f.jpg,3,2026-06-24 05:48:41
2,PH-3945,PH3945,E0153A5M150563026,E0153A5M150563026,90Ah,/uploads/batteries/1782280292340_89db13758954.jpg,3,2026-06-24 05:51:32
3,AC-02,AC02,1301-51,130151,120ah,/uploads/batteries/1782280674633_e455aae37a32.jpg,3,2026-06-24 05:57:54
4,LM-7949,LM7949,E0181J4M240255659,E0181J4M240255659,120aH,/uploads/batteries/1782280802079_c314076cc7bb.jpg,3,2026-06-24 06:00:02
5,LE-4986,LE4986,L018211M210521636,L018211M210521636,120Ah,/uploads/batteries/1782280925274_0fd052b4c80f.jpg,3,2026-06-24 06:02:05
6,PTR-10,PTR10,E0184F5M250382439,E0184F5M250382439,120Ah,/uploads/batteries/1782281067037_53ac8b653f08.jpg,3,2026-06-24 06:04:27
7,LO-8349,LO8349,E0184F5M250382423,E0184F5M250382423,120Ah,/uploads/batteries/1782281167618_eab25919e8fc.jpg,3,2026-06-24 06:06:07
8,SR-11,SR11,E018115M250421138,E018115M250421138,120Ah,/uploads/batteries/1782281253260_d8c5c064e9a4.jpg,3,2026-06-24 06:07:33
9,ZB-1047,ZB1047,E0181C5M250338265,E0181C5M250338265,120Ah,/uploads/batteries/1782281311704_3f9c84b59b59.jpg,3,2026-06-24 06:08:31
10,SL-08,SL08,E015364M240179248,E015364M240179248,90Ah,/uploads/batteries/1782281363301_fd3962325c21.jpg,3,2026-06-24 06:09:23
11,41-1130,411130,E151D5M150630980,E151D5M150630980,65Ah,/uploads/batteries/1782281429796_7a46854c733d.jpg,3,2026-06-24 06:10:29
12,GE-102,GE102,M140514590,M140514590,90Ah,/uploads/batteries/1782296096192_1db7854970dc.jpg,3,2026-06-24 10:14:56
13,28-4314,284314,M140537953,M140537953,Exide,/uploads/batteries/1783140512223_136263b819ae.jpg,4,2026-07-04 04:48:32
14,VR-59,VR59,M158752495,M158752495,90aH,/uploads/batteries/1783153856549_c5db9002b0c8.jpg,3,2026-07-04 08:30:56
15,VR-64,VR64,AAF2224Z1,AAF2224Z1,Exide 95Ah,/uploads/batteries/1783320034260_72292fa8b618.jpg,3,2026-07-06 06:40:34
16,LK-5586,LK5586,2007635146,2007635146,80Ah,/uploads/batteries/1783395564197_30a394d54192.jpg,3,2026-07-07 03:39:24
