id,battery_id,action,serial_no,serial_no_norm,vehicle_no,from_vehicle_no,reason,photo_path,user_id,created_at
1,1,add,fssa,FSSA,fds,,fds,/uploads/batteries/1781848956615_318870e4c8e9.jpg,4,2026-06-19 06:02:36
2,1,decommission,fssa,FSSA,fds,,destroy,/uploads/batteries/1781848956615_318870e4c8e9.jpg,1,2026-06-19 06:09:39
3,1,add,E01504B4M140255863,E01504B4M140255863,SL-08,,90Ah,/uploads/batteries/1782280121512_06729feb5f9f.jpg,3,2026-06-24 05:48:41
4,1,transfer,E01504B4M140255863,E01504B4M140255863,HEX-21,SL-08,Repalce,/uploads/batteries/1782280121512_06729feb5f9f.jpg,3,2026-06-24 05:49:16
5,2,add,E0153A5M150563026,E0153A5M150563026,PH-3945,,90Ah,/uploads/batteries/1782280292340_89db13758954.jpg,3,2026-06-24 05:51:32
6,3,add,1301-51,130151,AC-02,,120ah,/uploads/batteries/1782280674633_e455aae37a32.jpg,3,2026-06-24 05:57:54
7,4,add,E0181J4M240255659,E0181J4M240255659,LM-7949,,120aH,/uploads/batteries/1782280802079_c314076cc7bb.jpg,3,2026-06-24 06:00:02
8,5,add,L018211M210521636,L018211M210521636,MG-06,,120Ah,/uploads/batteries/1782280925274_0fd052b4c80f.jpg,3,2026-06-24 06:02:05
9,5,transfer,L018211M210521636,L018211M210521636,LE-4986,MG-06,Replace,/uploads/batteries/1782280925274_0fd052b4c80f.jpg,3,2026-06-24 06:02:38
10,6,add,E0184F5M250382439,E0184F5M250382439,LO-8349,,120Ah,/uploads/batteries/1782281067037_53ac8b653f08.jpg,3,2026-06-24 06:04:27
11,6,transfer,E0184F5M250382439,E0184F5M250382439,PTR-10,LO-8349,Replace,/uploads/batteries/1782281067037_53ac8b653f08.jpg,3,2026-06-24 06:04:47
12,7,add,E0184F5M250382423,E0184F5M250382423,LO-8349,,120Ah,/uploads/batteries/1782281167618_eab25919e8fc.jpg,3,2026-06-24 06:06:07
13,8,add,E018115M250421138,E018115M250421138,SR-11,,120Ah,/uploads/batteries/1782281253260_d8c5c064e9a4.jpg,3,2026-06-24 06:07:33
14,9,add,E0181C5M250338265,E0181C5M250338265,ZB-1047,,120Ah,/uploads/batteries/1782281311704_3f9c84b59b59.jpg,3,2026-06-24 06:08:31
15,10,add,E015364M240179248,E015364M240179248,28-4314,,90Ah,/uploads/batteries/1782281363301_fd3962325c21.jpg,3,2026-06-24 06:09:23
16,10,transfer,E015364M240179248,E015364M240179248,SL-08,28-4314,Replace,/uploads/batteries/1782281363301_fd3962325c21.jpg,3,2026-06-24 06:09:38
17,11,add,E151D5M150630980,E151D5M150630980,GE-144,,65Ah,/uploads/batteries/1782281429796_7a46854c733d.jpg,3,2026-06-24 06:10:29
18,11,transfer,E151D5M150630980,E151D5M150630980,41-1130,GE-144,Replace,/uploads/batteries/1782281429796_7a46854c733d.jpg,3,2026-06-24 06:10:50
19,12,add,M140514590,M140514590,LN-1867,,90Ah,/uploads/batteries/1782296096192_1db7854970dc.jpg,3,2026-06-24 10:14:56
20,12,transfer,M140514590,M140514590,GE-102,LN-1867,Replace,/uploads/batteries/1782296096192_1db7854970dc.jpg,3,2026-06-24 10:15:23
21,13,add,M140537953,M140537953,PA-6399,,Exide,/uploads/batteries/1783140512223_136263b819ae.jpg,4,2026-07-04 04:48:32
22,13,transfer,M140537953,M140537953,28-4314,PA-6399,Replace,/uploads/batteries/1783140512223_136263b819ae.jpg,3,2026-07-04 06:01:33
23,14,add,M158752495,M158752495,LK-5047,,90aH,/uploads/batteries/1783153856549_c5db9002b0c8.jpg,3,2026-07-04 08:30:56
24,15,add,AAF2224Z1,AAF2224Z1,VR-64,,Exide 95Ah,/uploads/batteries/1783320034260_72292fa8b618.jpg,3,2026-07-06 06:40:34
25,14,transfer,M158752495,M158752495,VR-59,LK-5047,Fixed,/uploads/batteries/1783153856549_c5db9002b0c8.jpg,3,2026-07-06 06:42:11
26,16,add,2007635146,2007635146,LK-5586,,80Ah,/uploads/batteries/1783395564197_30a394d54192.jpg,3,2026-07-07 03:39:24
