id,ec_code,ec_code_norm,registration,registration_norm,brand,type,model_no,capacity,yom,serial_no,chassis_no,engine_no,asset_class,site,created_at,status,created_by
1,LB-01,LB01,ZA-2609,ZA2609,JCB,Backhoe Loader,3DX,1.0 cu. m.,2012,1487562,,H00050004,plant,,2026-06-18 12:54:09,registered,
2,LB-02,LB02,ZA-2963,ZA2963,JCB,Backhoe Loader,3DX,1.0 cu. m.,2012,1487765,,H00032286,plant,,2026-06-18 12:54:09,registered,
3,LB-03,LB03,ZA-2964,ZA2964,JCB,Backhoe Loader,3DX,1.0 cu. m.,2012,1487793,,H00032137,plant,,2026-06-18 12:54:09,registered,
4,LB-04,LB04,RS-0401,RS0401,JCB,Backhoe Loader,SLP3CX,1.0 cu. m.,1999,SLP3CX7SWE0470373,,AA506060U870023D,plant,,2026-06-18 12:54:09,registered,
5,LB-05,LB05,RS-0483,RS0483,JCB,Backhoe Loader,3DX,1.0 cu. m.,2006,1041419,,,plant,,2026-06-18 12:54:09,registered,
6,LB-06,LB06,ZA-0447,ZA0447,JCB,Backhoe Loader,3CX,1.0 cu. m.,2002,CMT/596/2011/S/P,,,plant,,2026-06-18 12:54:09,registered,
7,LB-07,LB07,ZA-2608,ZA2608,JCB,Backhoe Loader,JCB 3CX,1.0 cu. m.,2004,*0943015,,AK51093U592119K,plant,,2026-06-18 12:54:09,registered,
8,LB-08,LB08,ZA-6068,ZA6068,JCB,Backhoe Loader,JCB 3DX,1.0 cu. m.,2015,HAR3DXSUJ01494150,,H00103100,plant,,2026-06-18 12:54:09,registered,
9,LB-09,LB09,ZA-6069,ZA6069,JCB,Backhoe Loader,JCB 3DX,1.0 cu. m.,2015,HAR3DXSUE01494156,,H00103915,plant,,2026-06-18 12:54:09,registered,
10,LB-10,LB10,ZA-7034,ZA7034,JCB,Backhoe Loader,JCB 3DX,1.0 cu. m.,2016,HAR3DXSUK01497483,,H00121591,plant,,2026-06-18 12:54:09,registered,
11,LB-11,LB11,ZA-7092,ZA7092,JCB,Backhoe Loader,JCB 3DX,1.0 cu. m.,2016,HAR3DXSUE01497316,,H000120453,plant,,2026-06-18 12:54:09,registered,
12,LB-12,LB12,ZA-8337,ZA8337,JCB,Backhoe Loader,3DX,1.0 cu. m.,2016,HAR3DXSUC001498720,,H00128304,plant,,2026-06-18 12:54:09,registered,
13,LB-13,LB13,ZA-7965,ZA7965,JCB,Backhoe Loader,3DX,1.0 cu. m.,2016,HAR3DXSUJ01499221,,H00130938,plant,,2026-06-18 12:54:09,registered,
14,LB-14,LB14,ZA-7968,ZA7968,JCB,Backhoe Loader,3DX,1.0 cu. m.,2016,HAR3DXSUK01499198,,H00130812,plant,,2026-06-18 12:54:09,registered,
15,LB-15,LB15,ZB-1047,ZB1047,J.C.B,Backhoe Loader,570ST,1.0 cu. m.,2019,NKJ570STCKKH00901,,8045.45.748.265437,plant,,2026-06-18 12:54:09,registered,
16,LB-16,LB16,ZB-1547,ZB1547,J.C.B,Backhoe Loader,3DX,1.0 cu. m.,2020,HAR3DXSUL02722406,,H00264328,plant,,2026-06-18 12:54:09,registered,
17,LB-17,LB17,ZB-1546,ZB1546,J.C.B,Backhoe Loader,3DX,1.0 cu. m.,2020,HAR3DXSUH02722410,,H00264316,plant,,2026-06-18 12:54:09,registered,
18,LB-18,LB18,ZB-1548,ZB1548,J.C.B,Backhoe Loader,3DX,1.0 cu. m.,2020,HAR3DXSUH02722407,,H00264525,plant,,2026-06-18 12:54:09,registered,
19,LB-19,LB19,ZB-1978,ZB1978,J.C.B,Backhoe Loader,3DX,1.0 cu. m.,2020,HAR3DXSUH02723508,,H00279711,plant,,2026-06-18 12:54:09,registered,
20,LB-20,LB20,ZB-1979,ZB1979,J.C.B,Backhoe Loader,3DX,1.0 cu. m.,2020,HAR3DXSUK02723502,,H00279709,plant,,2026-06-18 12:54:09,registered,
21,LB-21,LB21,ZB-1980,ZB1980,J.C.B,Backhoe Loader,3DX,1.0 cu. m.,2020,HAR3DXSUV02723665,,H00281560,plant,,2026-06-18 12:54:09,registered,
22,LB-22,LB22,ZB-2586,ZB2586,BOB CAT,Backhoe Loader,B760,1.0 cu. m.,2021,DBIB5JDGCL0S11006*,,NL84759,plant,,2026-06-18 12:54:09,registered,
23,LB-23,LB23,ZB-2587,ZB2587,BOB CAT,Backhoe Loader,B760,1.0 cu. m.,2021,DBIB5JDGEL0511005*,,NL84759,plant,,2026-06-18 12:54:09,registered,
24,LB-24,LB24,ZB-2583,ZB2583,BOB CAT,Backhoe Loader,B760,1.0 cu. m.,2021,DBIB5JDGLL0S11003*,,NL84759,plant,,2026-06-18 12:54:09,registered,
25,LD-01,LD01,,,CAT,Wheel  Loader,910E,0.5 m3,2009,,,,plant,,2026-06-18 12:54:09,registered,
26,LD-02,LD02,,,CAT,Wheel  Loader,CAT910,0.75 m3,2010,,,,plant,,2026-06-18 12:54:09,registered,
27,LD-03,LD03,,,KOMATSU,Wheel  Loader,WA100,0.75 m3,2012,,,,plant,,2026-06-18 12:54:09,registered,
28,LD-04,LD04,,,KOMATSU,Wheel  Loader,924F,0.5 m3,2013,,,,plant,,2026-06-18 12:54:09,registered,
29,LD-05,LD05,,,KOMATSU,Wheel  Loader,WA150,0.75 m3,2014,,,,plant,,2026-06-18 12:54:09,registered,
30,LD-06,LD06,ZA-3116,ZA3116,KOMATSU,Wheel  Loader,510,0.5 m3,2013,,,,plant,,2026-06-18 12:54:09,registered,
31,LD-07,LD07,,,KOMATSU,Wheel  Loader,WA-80SS,0.5 m3,2015,13297,,,plant,,2026-06-18 12:54:09,registered,
32,LD-08,LD08,,,SANTUI,Wheel  Loader,SL30W,0.75 m3,2014,,,,plant,,2026-06-18 12:54:09,registered,
33,LD-09,LD09,,,SHANTUI,Wheel  Loader,SL-50WN,01 m3,2020,,,,plant,,2026-06-18 12:54:09,registered,
34,TM-01,TM01,LK-5048,LK5048,MITSUBISHI,Truck  Mixer,KC-FH217C,2 m3,1996,FH217C501291,FH217C501291,6D16.831590,plant,,2026-06-18 12:54:09,registered,
35,TM-03,TM03,LK-5047,LK5047,ISUZU,Truck  Mixer,KC-NRR33C20,2 m3,1996,NRR33C2-3001266,NRR33C2-3001266,,plant,,2026-06-18 12:54:09,registered,
36,TM-04,TM04,LL-0690,LL0690,ISUZU,Truck  Mixer,KK-NRR35C4 FORWARD,2 m3,2000,NNR35C47000949,NNR35C47000949,6HL1.313673,plant,,2026-06-18 12:54:09,registered,
37,TM-10,TM10,ZA-6395,ZA6395,ASHOK LEYLAND,Truck  Mixer,TUSKER SUPER 1613,4 m3,2015,MB1ADJJA2FRDL3242,MB1ADJJA2FRDL3242,FDHZ403004,plant,,2026-06-18 12:54:09,registered,
38,TM-09,TM09,ZA-6255,ZA6255,MITSUBISHI,Truck  Mixer,KK-FE73EB CANTER,1 m3,2003,FE73EB501255,FE73EB501255,4M51-B12860,plant,,2026-06-18 12:54:09,registered,
39,TM-08,TM08,LJ-8055,LJ8055,ISUZU,Truck  Mixer,KC-NRR33C20,2 m3,1996,NNR33C23001295,NNR33C23001295,6HH1-211921,plant,,2026-06-18 12:54:09,registered,
