id,name,sheet_name,unit,category,reorder_level,unit_price,active,sort_order,created_at,updated_at
1,15W40 (CI-04) Valvoline,15W40(CI-04)Valvoline,L,engine_oil,259.833,,1,0,2026-06-18 12:54:09,2026-06-18 12:54:09
2,15W40 (CI-04) Servo,15W40(servo),L,engine_oil,2,,1,1,2026-06-18 12:54:09,2026-06-18 12:54:09
3,15W40 (CI-04) Delogold,15W40(Delogold),L,engine_oil,10,,1,2,2026-06-18 12:54:09,2026-06-18 12:54:09
4,DS-10,DS-10 Oil,L,engine_oil,10,,1,3,2026-06-18 12:54:09,2026-06-18 12:54:09
5,20W-50,20W-50,L,engine_oil,10,,1,4,2026-06-18 12:54:09,2026-06-18 12:54:09
6,SAE-30,SAE-30,L,engine_oil,14.667,,1,5,2026-06-18 12:54:09,2026-06-18 12:54:09
7,HD-68 Hy/Oil Caltex,HD-68 Hy-Oil Caltex,L,hydraulic,311.667,,1,6,2026-06-18 12:54:09,2026-06-18 12:54:09
8,SERVO-68 Hy/Oil,SERVO-68 HY-OIL,L,hydraulic,10,,1,7,2026-06-18 12:54:09,2026-06-18 12:54:09
9,HD-46 Hy/Oil Caltex,HD-46 Hy-Oil-Caltex,L,hydraulic,26.5,,1,8,2026-06-18 12:54:09,2026-06-18 12:54:09
10,HD-46 Hy/Oil Servo,HD-46 Hy Oil SERVO,L,hydraulic,10,,1,9,2026-06-18 12:54:09,2026-06-18 12:54:09
11,Power Oil-1888,Power Oil-1888,L,hydraulic,8.333,,1,10,2026-06-18 12:54:09,2026-06-18 12:54:09
12,MP-90 Gear Oil,MP-90 Gear Oil,L,gear_oil,46.167,,1,11,2026-06-18 12:54:09,2026-06-18 12:54:09
13,80W90 Gear Oil Caltex,80W90 (Caltex),L,gear_oil,20.5,,1,12,2026-06-18 12:54:09,2026-06-18 12:54:09
14,80W90 Gear Oil Servo,80W90 G-Oil (Servo),L,gear_oil,10.333,,1,13,2026-06-18 12:54:09,2026-06-18 12:54:09
15,MP-140 Gear Oil,MP-140 G-Oil,L,gear_oil,13.5,,1,14,2026-06-18 12:54:09,2026-06-18 12:54:09
16,Grease,Grease,kg,grease,166.417,,1,15,2026-06-18 12:54:09,2026-06-18 12:54:09
17,Karosine Oil,K-Oil,L,fuel,19.917,,1,16,2026-06-18 12:54:09,2026-06-18 12:54:09
18,Petrol,PETROL,L,fuel,1.25,,1,17,2026-06-18 12:54:09,2026-06-18 12:54:09
19,Hub Grease,HUB GREASE,kg,grease,4.667,,1,18,2026-06-18 12:54:09,2026-06-18 12:54:09
20,Cotton Waste,cotten waste,kg,other,13.533,,1,19,2026-06-18 12:54:09,2026-06-18 12:54:09
21,HD 68 Oil (Valvoline),,L,hydraulic,,,1,20,2026-06-20 02:48:11,2026-06-20 02:48:11
22,80W90 Gear Oil (Delo),,L,engine_oil,210,,1,21,2026-07-25 15:12:14,2026-07-25 15:13:51
