id,name,name_norm,location,active,created_at
1,CEP-03 Project,CEP03PROJECT,,1,2026-06-18 12:54:09
2,Ruwanwella Water Project,RUWANWELLAWATERPROJECT,Ruwanwella,1,2026-06-18 12:54:09
3,Marawila Road Project,MARAWILAROADPROJECT,Marawila,1,2026-06-18 12:54:09
4,Batticaloa Project,BATTICALOAPROJECT,Batticaloa,1,2026-06-18 12:54:09
5,Muthur Plant,MUTHURPLANT,Muthur,1,2026-06-18 12:54:09
6,Asphalt Plant,ASPHALTPLANT,,1,2026-06-18 12:54:09
7,Iginimitiya Project,IGINIMITIYAPROJECT,Iginimitiya,1,2026-06-18 12:54:09
8,Port City,PORTCITY,Colombo,1,2026-06-18 12:54:09
9,Kilinochchi Project,KILINOCHCHIPROJECT,Kilinochchi,1,2026-06-18 12:54:09
10,Awissawella Project,AWISSAWELLAPROJECT,Awissawella,1,2026-06-20 03:10:39
11,Musali Water Project,MUSALIWATERPROJECT,Mannar,1,2026-06-22 10:03:13
