id,product_id,period,book_qty,counted_qty,variance,adjusted,note,counted_by,created_at,updated_at
1,1,2026-06,76.25,76.25,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
2,2,2026-06,88.0,88.0,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
3,3,2026-06,0.0,0.0,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
4,4,2026-06,145.0,145.0,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
5,5,2026-06,56.5,56.5,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
6,6,2026-06,43.0,43.0,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
7,7,2026-06,0.0,0.0,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
8,8,2026-06,0.0,0.0,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
9,9,2026-06,42.25,42.25,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
10,10,2026-06,0.0,0.0,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
11,11,2026-06,72.5,72.5,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
12,12,2026-06,37.5,37.5,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
13,13,2026-06,2.0,2.0,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
14,14,2026-06,61.5,61.5,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
15,15,2026-06,107.0,107.0,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
16,16,2026-06,156.85,156.85,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
17,17,2026-06,9.5,9.5,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
18,18,2026-06,3.9,3.9,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
19,19,2026-06,4.0,4.0,0.0,0,,1,2026-06-20 03:44:01,2026-06-20 06:16:11
