id,product_id,txn_date,kind,qty_received,qty_issued,balance_after,consumer_type,asset_id,project_id,description,mr_no,mtn_no,remark,voided
1,1,2025-11-20,opening,28,0,27,,,,b/f,,,,0
2,1,2025-11-22,issue,0,1,26,asset,360,,HEX-37,,,,0
3,1,2025-11-22,issue,0,2,24,asset,104,,VR-40,,,,0
4,1,2025-11-23,issue,0,20,4,project,,3,Marawila I Road Project,127651,64972,,0
5,1,2025-11-23,receipt,11,0,15,,,,Excess Received,,,,0
6,1,2025-11-23,issue,0,16,-1,asset,288,,LO-4824,,,,0
7,1,2025-12-09,receipt,200,0,199,,,,Main Stores,141251,,,0
8,1,2025-12-09,issue,0,5,194,asset,193,,LK-5041,,,,0
9,1,2025-12-09,issue,0,15,179,asset,52,,SR-05,,,,0
10,1,2025-12-10,issue,0,2,177,unknown,,,LO-4925,,,,0
11,1,2025-12-10,issue,0,13,164,asset,12,,ZA-8337,,,,0
12,1,2025-12-10,issue,0,15,149,asset,189,,48-4849,,,,0
13,1,2025-12-10,issue,0,6,143,asset,376,,RC-9894,,,,0
14,1,2025-10-10,issue,0,1,-1,unknown,,,CM-33,,,,0
15,1,2025-12-10,issue,0,5,138,project,,2,Ruwanwella Water Project,,71969,,0
16,1,2025-12-11,issue,0,40,98,asset,336,,LN-8279,,,,0
17,1,2025-12-12,issue,0,2,96,unknown,,,Electric Compressor,,,,0
18,1,2025-12-12,issue,0,10,86,project,,7,Iginimitiya,126910,,,0
19,1,2025-12-12,issue,0,3,83,asset,238,,PR-1469,,,,0
20,1,2025-12-13,issue,0,14,69,asset,144,,PTR-10,,,,0
21,1,2025-12-13,issue,0,50,19,project,,1,CEP-03,2224,64983,,0
22,1,2025-12-14,issue,0,0.5,18.5,asset,196,,PA-4193,,,,0
23,1,2025-12-16,issue,0,15,3.5,asset,43,,ZA-7925,,,,0
24,1,2025-12-16,receipt,200,0,203.5,,,,Main Stores,141259,,,0
25,1,2025-12-17,issue,0,7,196.5,internal,,,Pile Driver,,,,0
26,1,2025-12-17,issue,0,15,181.5,asset,293,,LO-5984,,,,0
27,1,2025-12-17,issue,0,20,161.5,project,,4,Batticoloa-LOT/02,203560,71979,,0
28,1,2025-12-17,receipt,200,0,361.5,,,,Main Stores,141264,,,0
29,1,2025-12-17,issue,0,200,161.5,internal,,,Service Truck,,,,0
30,1,2025-12-18,issue,0,1,160.5,asset,243,,DAH-2491,,,,0
31,1,2025-12-18,issue,0,3,157.5,internal,,,Service Carture Engine,,,,0
32,1,2025-12-18,issue,0,5,152.5,asset,225,,325-3448,,,,0
33,1,2025-12-18,issue,0,15,137.5,asset,274,,LI-3851,,,,0
34,1,2025-12-18,issue,0,50,87.5,project,,1,CEP-03-E,2223,71982,,0
35,1,2025-12-19,issue,0,2,85.5,asset,331,,GL-0019,,,,0
36,1,2025-12-19,receipt,200,0,285.5,,,,Main Stores,141272,,,0
37,1,2025-12-19,issue,0,8,277.5,internal,,,Pile Driver,,,,0
38,1,2025-12-19,issue,0,10,267.5,asset,184,,LL-0623,,,,0
39,1,2025-12-20,issue,0,13,254.5,asset,1,,ZA-2609,,,,0
40,1,2025-12-20,issue,0,16,238.5,asset,286,,LO-4822,,,,0
41,1,2025-12-20,issue,0,1,237.5,asset,383,,FL-02,,,,0
42,1,2025-12-22,issue,0,14,223.5,asset,247,,LK-4057,,,,0
43,1,2025-12-22,issue,0,18,205.5,asset,312,,LP-1569,,,,0
44,1,2025-12-22,issue,0,8,197.5,unknown,,,41-7225,,,,0
45,1,2025-12-22,issue,0,14,183.5,asset,275,,LE-4986,,,,0
46,1,2025-12-22,issue,0,8,175.5,asset,378,,49-5294,,,,0
47,1,2025-12-23,issue,0,13,162.5,unknown,,,LO-4925,,,,0
48,1,2025-12-23,issue,0,1,161.5,unknown,,,LO-4925,,,,0
49,1,2025-12-23,issue,0,4,157.5,asset,331,,GL-0019,,,,0
50,1,2025-12-23,issue,0,7,150.5,unknown,,,ASC-21,,,,0
51,1,2025-12-23,issue,0,13,137.5,asset,39,,LJ-8055,,,,0
52,1,2025-12-24,issue,0,15,122.5,asset,282,,LM-7942,,,,0
53,1,2025-12-24,issue,0,13,109.5,asset,269,,LK-4058,,,,0
54,1,2025-12-26,issue,0,10,99.5,asset,22,,ZB-2586,,,,0
55,1,2025-12-26,issue,0,10,89.5,asset,4,,RS-0401,,,,0
56,1,2025-12-27,issue,0,10,79.5,asset,267,,LK-5586,,,,0
57,1,2025-12-28,issue,0,1,78.5,asset,220,,57-3062,,,,0
58,1,2025-12-29,issue,0,23,55.5,asset,108,,VR-44,,,,0
59,1,2025-12-29,issue,0,18,37.5,asset,248,,HS-1794,,,,0
60,1,2026-01-02,receipt,200,0,237.5,,,,Main Stores,141298,,,0
61,1,2026-01-03,issue,0,1,236.5,asset,189,,48-4849,,,,0
62,1,2026-01-04,issue,0,10,226.5,project,,3,Marawila site,127690,71994,,0
63,1,2026-01-04,issue,0,6,220.5,unknown,,,PD-7049,,,,0
64,1,2026-01-05,issue,0,0.5,220,unknown,,,AC-37,,,,0
65,1,2026-01-05,issue,0,15,205,asset,6,,ZA-0447,,,,0
66,1,2026-01-05,issue,0,1,204,asset,29,,LD-05,,,,0
67,1,2026-01-05,issue,0,30,174,internal,,,Service Truck,,,,0
68,1,2026-01-06,issue,0,6.5,167.5,asset,224,,PA-6399,,,,0
69,1,2026-01-07,issue,0,6.5,161,unknown,,,51-7155,,,Auto bax,0
70,1,2026-01-08,issue,0,2,159,asset,243,,DAH-2491,,,,0
71,1,2026-01-08,issue,0,2,157,unknown,,,CM-33,,,,0
72,1,2026-01-08,issue,0,18,139,asset,323,,LP-1713,,,,0
73,1,2026-01-08,issue,0,18,121,asset,314,,LP-1574,,,,0
74,1,2026-01-08,issue,0,2.5,118.5,asset,106,,VR-42,,,,0
75,1,2026-01-08,issue,0,18,100.5,asset,319,,LP-1566,,,,0
76,1,2026-01-09,issue,0,1.75,98.75,asset,192,,LN-8278,,,,0
77,1,2026-01-09,issue,0,30,68.75,asset,360,,HEX-37,,,,0
