id,serialNumber,itemName,itemDesc,brand,condition,state,currentVehicle,purchaseDate,purchaseDateISO,expiryDate,expiryDateISO,notes,createdAt,updatedAt
19,M239972243,120 Ah Battery,LO-7182,EXIDE,Expired,Disposed,,2026-06-08,2026-06-08,,,LO-7182 | H/O to Mr Bandara (SK) | H/O to Mr Bandara (SK),2026-06-08T12:44:58.771Z,2026-07-09T06:55:59.017Z
20,M230056860,150 Amp Battery,ZA-7925,EXIDE,Old,In Store,,2026-06-08,2026-06-08,,,ZA-7925,2026-06-08T12:55:08.585Z,2026-06-08T12:59:28.472Z
21,M240255857,120 Ah Battery,LM-5722,EXIDE,Expired,Disposed,,2026-06-08,2026-06-08,,,LM-5722 | H/O to Mr Bandara (SK),2026-06-08T12:57:00.998Z,2026-07-09T06:56:59.197Z
22,M249228196,120 Ah Battery,,EXIDE,Expired,Disposed,,2026-06-08,2026-06-08,,,Work Shop | H/O to Mr Bandara (SK) | H/O to Mr Bandara (SK) | H/O to Mr Bandara (SK),2026-06-08T13:01:45.052Z,2026-07-09T09:53:45.532Z
23,AC1423624,90 Ah Battery,,Emtrac Plus,Old,Installed,SL-08,2026-06-08,2026-06-08,,,28-4314,2026-06-08T13:04:04.406Z,2026-06-15T10:25:22.308Z
24,M238123689,90 Ah Battery,,EXIDE,Old,In Store,,2026-06-08,2026-06-08,,,40-800,2026-06-08T13:06:57.510Z,2026-06-08T13:06:57.510Z
25,M230066365,90 Ah Battery,,EXIDE,Old,Installed,LK-5586,2026-06-08,2026-06-08,,,LK-6738,2026-06-08T13:08:51.554Z,2026-07-09T09:37:07.800Z
26,M230795540,90 Ah Battery,,EXIDE,Old,Installed,PR-1504,2026-06-08,2026-06-08,,,PY-2408 | H/O To Mr Bandara (SK) For Warranty Repair | H/O to Mr Bandara For Warranty Repair,2026-06-08T13:10:54.680Z,2026-07-09T09:29:19.500Z
27,M250333846,100Ah,,EXIDE,Old,In Store,,2026-06-08,2026-06-08,,,LK-2366,2026-06-08T13:12:43.564Z,2026-06-08T13:12:43.564Z
28,AAF2242X116322,90 Ah Battery,,AMARON,Old,Installed,HEX - 21,2026-06-08,2026-06-08,,,PH-3945,2026-06-08T13:13:57.746Z,2026-06-15T10:23:50.468Z
29,M24024700,90 Ah Battery,,EXIDE,Expired,Disposed,,2026-06-08,2026-06-08,,,PR-1469 | H/O to Mr Bandara (SK),2026-06-08T13:15:04.795Z,2026-07-09T08:43:54.876Z
30,M230081876,90 Ah Battery,,EXIDE,Old,Installed,LK-4058,2026-06-08,2026-06-08,,,LK-4058,2026-06-08T13:15:58.044Z,2026-07-09T10:33:10.279Z
31,M142255963,90 Ah Battery,,EXIDE,Old,Installed,HEX - 21,2026-06-08,2026-06-08,,,SL-08,2026-06-08T13:16:54.655Z,2026-06-15T10:23:15.741Z
32,M230068165,90 Ah Battery,,EXIDE,Expired,Disposed,,2026-06-08,2026-06-08,,,PTR-08 | H/O to Mr Bandara (SK),2026-06-08T13:46:24.232Z,2026-07-09T08:58:51.734Z
33,M230081997,90 Ah Battery,,EXIDE,Old,In Store,,2026-06-08,2026-06-08,,,LK-4058,2026-06-08T13:47:31.893Z,2026-06-08T13:47:31.893Z
34,M230039820,90 Ah Battery,,EXIDE,Old,Installed,LK-5586,2026-06-08,2026-06-08,,,VR-44,2026-06-08T13:48:30.017Z,2026-07-09T09:38:48.480Z
35,M230039478,90 Ah Battery,,EXIDE,Expired,Disposed,,2026-06-08,2026-06-08,,,VR-44 | H/O to Mr Bandara (SK),2026-06-08T13:49:09.776Z,2026-07-09T09:02:46.966Z
36,M229766347,60Ah,,EXIDE,Old,Installed,PX-2180,2026-06-08,2026-06-08,,,PX-2180,2026-06-08T13:50:54.194Z,2026-07-09T10:38:26.622Z
37,AAF2217X1,90 Ah Battery,,AMARON,Old,Installed,Main Store,2026-06-08,2026-06-08,,,PA-4879 | H/O to Mr Bandara (SK) For Warrenty Reapair,2026-06-08T13:52:21.825Z,2026-07-09T09:25:39.922Z
38,M140395913,90 Ah Battery,,EXIDE,Old,Installed,PR-1469,2026-06-08,2026-06-08,,,325-3448,2026-06-08T13:53:07.839Z,2026-06-20T11:15:41.661Z
39,M23000289,90 Ah Battery,,EXIDE,Expired,Disposed,,2026-06-08,2026-06-08,,,LK-4061 | H/O to Mr Bandara (SK),2026-06-08T13:54:11.849Z,2026-07-09T09:30:44.963Z
40,M250338265,120 Ah Battery,,EXIDE,Old,Installed,Main Store,2026-06-08,2026-06-08,,,ZB-1047 | H/O to Mr Bandara for Warranty Repair,2026-06-08T13:55:03.679Z,2026-07-09T11:50:48.166Z
41,M240297377,120 Ah Battery,,EXIDE,Old,In Store,,2026-06-08,2026-06-08,,,PTR-01,2026-06-08T13:56:01.709Z,2026-06-08T13:56:01.709Z
42,M240297055,120 Ah Battery,,EXIDE,Expired,Disposed,,2026-06-08,2026-06-08,,,LM-5721 | H/O to Mr Bandara (SK),2026-06-08T13:57:14.476Z,2026-07-09T09:34:05.779Z
43,M248225832,90 Ah Battery,,EXIDE,Expired,Disposed,,2026-06-08,2026-06-08,,,Work Shop | H/O to Mr Bandara (SK),2026-06-08T13:58:55.669Z,2026-07-09T09:34:48.594Z
44,M230814790,90 Ah Battery,,EXIDE,Expired,Disposed,,2026-06-08,2026-06-08,,,AC-27 | H/O to Mr Bandara (SK),2026-06-08T14:00:06.965Z,2026-07-09T09:35:30.474Z
45,M230070523,150 Amp Battery,,EXIDE,Old,In Store,,2026-06-08,2026-06-08,,,LO-4822,2026-06-08T14:00:55.320Z,2026-06-08T14:00:55.320Z
46,M230069096,150 Amp Battery,,EXIDE,Old,In Store,,2026-06-08,2026-06-08,,,LO-4822,2026-06-08T14:01:44.267Z,2026-06-08T14:01:44.267Z
47,M210536526,150 Amp Battery,,EXIDE,Old,In Store,,2026-06-08,2026-06-08,,,"MG-06 , LO-8350",2026-06-08T14:02:44.714Z,2026-06-08T14:02:44.714Z
48,M230069463,150 Amp Battery,,EXIDE,Old,In Store,,2026-06-08,2026-06-08,,,ZA-7925,2026-06-08T14:03:33.058Z,2026-06-08T14:03:33.058Z
53,M230072124,120 Ah Battery,After Repair,EXIDE,Old,In Store,,2026-06-11,2026-06-11,,,325-5120,2026-06-13T13:55:16.668Z,2026-06-13T13:55:16.668Z
54,M260464362,90 Ah Battery,,EXIDE,Old,Installed,PA-4879,2026-06-11,2026-06-11,,,PA-4879,2026-06-13T14:02:17.111Z,2026-06-15T10:30:39.732Z
55,250421138,120 Ah Battery,,EXIDE,Old,Installed,SR-11,2026-06-17,2026-06-17,,,SR-11,2026-06-17T05:11:08.854Z,2026-06-18T02:57:23.192Z
56,M50564225,90 Ah Battery,Return From RS-0401,EXIDE,Old,In Store,,2026-06-17,2026-06-17,,,PR-1504,2026-06-18T02:59:28.748Z,2026-06-18T03:01:03.102Z
57,M230104913,120 Ah Battery,,EXIDE,Old,Installed,GL-0019,2026-06-16,2026-06-16,,,GL-0019,2026-06-20T11:12:10.496Z,2026-06-20T11:16:25.982Z
58,M230072159,120 Ah Battery,,EXIDE,Old,Installed,GL-0019,2026-06-18,2026-06-18,,,LJ-5203,2026-06-20T11:12:59.537Z,2026-06-20T11:16:47.704Z
77,M140514590,90 Ah Battery,,EXIDE,Old,Installed,LK-4058,2026-06-24,2026-06-24,,,LN-1867,2026-06-24T10:19:56.838Z,2026-07-09T09:56:28.131Z
78,.,120 Ah Battery,,EXIDE,Expired,Disposed,,2026-06-24,2026-06-24,,,LM-7949 | H/O to Mr Bandara (SK),2026-07-09T08:13:30.896Z,2026-07-09T09:36:12.153Z
