id,batteryId,serialNumber,movementType,movementDate,movementDateISO,fromLocation,toLocation,conditionAfter,issuedBy,mrnNum,notes,createdAt
61,19,M239972243,Register,2026-06-08,2026-06-08,Unknown,In Store,Old,,,Initial registration. ,2026-06-08T12:44:58.771Z
62,20,M230056860,Register,2026-06-08,2026-06-08,Unknown,In Store,Old,,,Initial registration. ,2026-06-08T12:55:08.585Z
63,21,M240255857,Register,2026-06-08,2026-06-08,Unknown,In Store,Old,,,Initial registration. ,2026-06-08T12:57:00.998Z
64,22,M249228196,Register,2026-06-08,2026-06-08,Unknown,In Store,Old,,,Initial registration. Work Shop,2026-06-08T13:01:45.052Z
65,23,AC1423624,Register,2026-06-08,2026-06-08,Unknown,In Store,Old,,,Initial registration. 28-4314,2026-06-08T13:04:04.406Z
66,24,M238123689,Register,2026-06-08,2026-06-08,Unknown,In Store,Old,,,Initial registration. 40-800,2026-06-08T13:06:57.510Z
67,25,M230066365,Register,2026-06-08,2026-06-08,Unknown,In Store,Old,,,Initial registration. LK-6738,2026-06-08T13:08:51.554Z
68,26,M230795540,Register,2026-06-08,2026-06-08,Unknown,In Store,Old,,,Initial registration. PY-2408,2026-06-08T13:10:54.680Z
69,27,M250333846,Register,2026-06-08,2026-06-08,Unknown,In Store,Old,,,Initial registration. LK-2366,2026-06-08T13:12:43.564Z
70,28,AAF2242X116322,Register,2026-06-08,2026-06-08,Unknown,In Store,Old,,,Initial registration. PH-3945,2026-06-08T13:13:57.746Z
71,29,M24024700,Register,2026-06-08,2026-06-08,Unknown,In Store,Old,,,Initial registration. PR-1409,2026-06-08T13:15:04.795Z
72,30,M230081876,Register,2026-06-08,2026-06-08,Unknown,In Store,Old,,,Initial registration. LK-4058,2026-06-08T13:15:58.044Z
73,31,M142255963,Register,2026-06-08,2026-06-08,Unknown,In Store,Old,,,Initial registration. SL-08,2026-06-08T13:16:54.655Z
74,32,M230068165,Register,2026-06-08,2026-06-08,Unknown,In Store,Old,,,Initial registration. PTA-08,2026-06-08T13:46:24.232Z
75,33,M230081997,Register,2026-06-08,2026-06-08,Unknown,In Store,Old,,,Initial registration. LK-4058,2026-06-08T13:47:31.893Z
