rack,item,date,mr_no,vehicle,qty,balance
Rack 3D,Hour Meter,2026-06-13,,FL-02,1,2
Rack 13A,Toggle Switch,2026-05-25,,SR-11,1,8
Rack 13A,Fuse 10A,2026-05-25,,LP-1574,1,57
Rack 13A,Fuse 10A,2026-05-27,,LP-1720,1,56
Rack 13A,Fuse 10A,2026-05-29,,51-7158,2,54
Rack 13A,Fuse 10A,2026-06-15,,SL-08,1,53
Rack 13A,Fuse 10A,2026-06-15,,HEX-26,2,51
Rack 13A,Fuse 10A,2026-06-15,,LO-5985,1,50
Rack 13A,Fuse 10A,2026-06-16,,HEX-21,2,48
Rack 13A,Fuse 10A,2026-06-16,,HEX-39,3,45
Rack 13A,Fuse 10A,2026-06-16,,HEX-39,2,43
Rack 13A,Fuse 10A,2026-06-27,,SL-09,4,39
Rack 13A,Fuse 10A,2026-06-30,,SL-09,1,38
Rack 13A,Fuse 10A,2026-06-30,,PH-6744,1,37
Rack 13A,Fuse 10A,2026-07-01,,SL-09,1,36
Rack 13A,Fuse 10A,2026-07-02,,PY-2408,1,35
Rack 13A,Fuse 10A,2026-07-06,,LI-3851,2,33
Rack 13A,Fuse 20A,2026-05-25,,LP-1566,1,89
Rack 13A,Fuse 20A,2026-05-27,,28-4314,1,88
Rack 13A,Fuse 20A,2026-06-03,,TH-6744,1,87
Rack 13A,Fuse 20A,2026-06-15,,HEX-26,2,85
Rack 13A,Fuse 20A,2026-06-15,,HEX-21,1,84
Rack 13A,Fuse 20A,2026-07-02,,HEX-26,1,83
Rack 13A,Fuse 20A,2026-07-02,,PY-2408,2,81
Rack 13A,Fuse 20A,2026-07-06,,LI-3851,2,79
Rack 13A,Fuse 30A,2026-06-02,,VR-48,1,27
Rack 13A,Fuse 30A,2026-06-09,,HEX-33,1,26
Rack 13A,Fuse 30A,2026-07-01,,SL-09,2,24
Rack 13A,Fuse 30A,2026-07-02,,PY-2408,2,22
Rack 13A,Fuse 30A,2026-07-06,,LI-3851,2,20
Rack 13A,Fuse 7.5A,2026-06-04,,HEX-23,1,16
Rack 13A,Fuse 7.5A,2026-06-06,,HEX-23,1,15
Rack 13A,Fuse 7.5A,2026-06-08,,LY-4524,2,13
Rack 13A,Fuse 7.5A,2026-07-02,,HEX-26,1,12
Rack 13A,Fuse 15A,2026-05-27,,25-4314,1,67
Rack 13A,Fuse 15A,2026-05-27,,LN-8278,1,66
Rack 13A,Fuse 15A,2026-05-30,,51-7158,1,65
Rack 13A,Fuse 15A,2026-06-06,,HEX-21,1,64
Rack 13A,Fuse 15A,2026-06-08,,LY-4524,1,63
Rack 13A,Fuse 15A,2026-06-15,,HEX-21,5,58
Rack 13A,Fuse 15A,2026-06-16,,HEX-21,1,57
Rack 13A,Fuse 15A,2026-06-16,,HEX-39,2,55
Rack 13A,Fuse 15A,2026-06-16,,HEX-39,3,52
Rack 13A,Fuse 15A,2026-06-18,,ZB-1047,1,51
Rack 13A,Fuse 15A,2026-06-27,,SL-09,2,49
Rack 13A,Fuse 15A,2026-07-02,,PY-2408,2,47
Rack 13A,Fuse 15A,2026-07-06,,LI-3851,2,45
Rack 13A,Fuse 15A,2026-07-06,,LI-3851,3,42
Rack 13A,Fuse 25A,2026-05-27,,28-4314,1,22
