id,itemId,txDate,txDateISO,txType,mrnNum,grnNum,vehicleMachinery,qty,balance,remarks,transferredToRack,createdAt,updatedAt
1,1,2026-05-21,2026-05-21,Receive,,,Opening Balance,9.0,9.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
2,1,2026-05-25,2026-05-25,Issue,,,SR-11,1.0,8.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
3,2,2026-05-21,2026-05-21,Receive,,,Opening Balance,3.0,3.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
4,3,2026-05-21,2026-05-21,Receive,,,Opening Balance,58.0,58.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
5,3,2026-05-25,2026-05-25,Issue,,,LP-1574,1.0,57.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
6,3,2026-05-27,2026-05-27,Issue,,,LP-1720,1.0,56.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
7,3,2026-05-29,2026-05-29,Issue,,,51-7158,2.0,54.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
8,3,2026-06-15,2026-06-15,Issue,,,SL-08,1.0,53.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
9,3,2026-06-15,2026-06-15,Issue,,,HEX-26,2.0,51.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
10,3,2026-06-15,2026-06-15,Issue,,,LO-5985,1.0,50.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
11,3,2026-06-16,2026-06-16,Issue,,,HEX-21,2.0,48.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
12,3,2026-06-16,2026-06-16,Issue,,,HEX-39,3.0,45.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
13,3,2026-06-16,2026-06-16,Issue,,,HEX-39,2.0,43.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
14,4,2026-05-21,2026-05-21,Receive,,,Opening Balance,90.0,90.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
15,4,2026-05-25,2026-05-25,Issue,,,LP-1566,1.0,89.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
16,4,2026-05-27,2026-05-27,Issue,,,28-4314,1.0,88.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
17,4,2026-06-03,2026-06-03,Issue,,,TH-6744,1.0,87.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
18,4,2026-06-15,2026-06-15,Issue,,,HEX-26,2.0,85.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
19,4,2026-06-15,2026-06-15,Issue,,,HEX-21,1.0,84.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
20,5,2026-05-21,2026-05-21,Receive,,,Opening Balance,28.0,28.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
21,5,2026-06-02,2026-06-02,Issue,,,VR-48,1.0,27.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
22,5,2026-06-09,2026-06-09,Issue,,,HEX-33,1.0,26.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
23,6,2026-05-21,2026-05-21,Receive,,,Opening Balance,17.0,17.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
24,6,2026-06-04,2026-06-04,Issue,,,HEX-23,1.0,16.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
25,6,2026-06-06,2026-06-06,Issue,,,HEX-23,1.0,15.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
26,6,2026-06-08,2026-06-08,Issue,,,LY-4524,2.0,13.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
27,7,2026-05-21,2026-05-21,Receive,,,Opening Balance,68.0,68.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
28,7,2026-05-27,2026-05-27,Issue,,,25-4314,1.0,67.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
29,7,2026-05-27,2026-05-27,Issue,,,LN-8278,1.0,66.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
30,7,2026-05-30,2026-05-30,Issue,,,51-7158,1.0,65.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
31,7,2026-06-06,2026-06-06,Issue,,,HEX-21,1.0,64.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
32,7,2026-06-08,2026-06-08,Issue,,,LY-4524,1.0,63.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
33,7,2026-06-15,2026-06-15,Issue,,,HEX-21,5.0,58.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
34,7,2026-06-16,2026-06-16,Issue,,,HEX-21,1.0,57.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
35,7,2026-06-16,2026-06-16,Issue,,,HEX-39,2.0,55.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
36,7,2026-06-16,2026-06-16,Issue,,,HEX-39,3.0,52.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
37,8,2026-05-21,2026-05-21,Receive,,,Opening Balance,23.0,23.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
38,8,2026-05-27,2026-05-27,Issue,,,28-4314,1.0,22.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
39,8,2026-06-06,2026-06-06,Issue,,,HEX-23,1.0,21.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
40,8,2026-06-08,2026-06-08,Issue,,,LY-4524,2.0,19.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
41,8,2026-06-11,2026-06-11,Issue,,,PTR-20,1.0,18.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
42,9,2026-05-21,2026-05-21,Receive,,,Opening Balance,9.0,9.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
43,10,2026-05-21,2026-05-21,Receive,,,Opening Balance,4.0,4.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
44,11,2026-05-21,2026-05-21,Receive,,,Opening Balance,1.0,1.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
45,12,2026-05-21,2026-05-21,Receive,,,Opening Balance,2.0,2.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
46,12,2026-06-06,2026-06-06,Issue,,,HEX-23,2.0,0.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
47,13,2026-05-21,2026-05-21,Receive,,,Opening Balance,6.0,6.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
48,14,2026-05-21,2026-05-21,Receive,,,Opening Balance,6.0,6.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
49,15,2026-05-21,2026-05-21,Receive,,,Opening Balance,10.0,10.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
50,16,2026-05-21,2026-05-21,Receive,,,Opening Balance,8.0,8.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
51,17,2026-05-21,2026-05-21,Receive,,,Opening Balance,12.0,12.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
52,17,2026-05-21,2026-05-21,Issue,,,Tinkering w/s,2.0,10.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
53,18,2026-05-21,2026-05-21,Receive,,,Opening Balance,5.0,5.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
54,18,2026-06-16,2026-06-16,Issue,,,Waker (HC401199),1.0,4.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
55,19,2026-05-21,2026-05-21,Receive,,,Opening Balance,4.0,4.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
56,20,2026-05-21,2026-05-21,Receive,,,Opening Balance,12.0,12.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
57,21,2026-05-21,2026-05-21,Receive,,,Opening Balance,2.0,2.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
58,22,2026-05-21,2026-05-21,Receive,,,Opening Balance,2.0,2.0,Box,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
59,23,2026-05-21,2026-05-21,Receive,,,Opening Balance,3.0,3.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
60,23,2026-05-21,2026-05-21,Issue,,,LN-8278,1.0,2.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
61,23,2026-05-23,2026-05-23,Issue,,,41-7225,1.0,1.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
62,23,2026-05-26,2026-05-26,Issue,,,LN-8278,1.0,0.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
63,23,2026-06-09,2026-06-09,Receive,166907,,,8.0,8.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
64,23,2026-06-10,2026-06-10,Issue,,,ASC-21,1.0,7.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
65,24,2026-05-21,2026-05-21,Receive,,,Opening Balance,17.0,17.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
66,25,2026-05-21,2026-05-21,Receive,,,Opening Balance,28.0,28.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
67,26,2026-05-21,2026-05-21,Receive,,,Opening Balance,27.0,27.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
68,27,2026-05-21,2026-05-21,Receive,,,Opening Balance,4.0,4.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
69,27,2026-06-11,2026-06-11,Issue,,,LN-8278,1.0,3.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
70,28,2026-05-21,2026-05-21,Receive,,,Opening Balance,5.0,5.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
71,28,2026-06-09,2026-06-09,Issue,,,LO-8348,1.0,4.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
72,29,2026-05-21,2026-05-21,Receive,,,Opening Balance,8.0,8.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
73,29,2026-05-21,2026-05-21,Receive,142348,,,20.0,28.0,,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
