id,itemName,partNumber,category,specification,unit,rackNumber,minStock,notes,createdAt,updatedAt
1,Toggle Switch,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
2,Automative Switch,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
3,Fuse 10A,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
4,Fuse 20A,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
5,Fuse 30A,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
6,Fuse 7.5A,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
7,Fuse 15A,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
8,Fuse 25A,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
9,Air Socket,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
10,12V Signal Flasher,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
11,ALT Regulator 24V,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
12,Relay 12V 20A,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
13,3 Pin Flasher 24V,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
14,Unversal Relay 5Pin 30A,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
15,Relay 24V 5P,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
16,Light Relay 5P 12V,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
17,Halogan Lamp 12V,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
18,Spark Plug (NGK Water Pump),,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
19,Halogan Lamp 24V,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
20,5Pin 24V 20A Relay,,General Items,,Pcs,13A,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
21,Halogan Auto Lamp 24V 100 90W,,General Items,,Pcs,13B,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
22,Auto Lamp Bulb 24V 5W,,General Items,,Pcs,13B,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
23,Rubber Grease,,General Items,,Pcs,13B,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
24,Auto Bulb 12V 10W,,General Items,,Pcs,13B,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
25,Single Filament Bulb 12V 21W,,General Items,,Pcs,13B,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
26,D F Bulb 12V 21 5W,,General Items,,Pcs,13B,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
27,Auto Bulb 24V 10W,,General Items,,Pcs,13B,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
28,Auto Lamp Bulb 12V 21W,,General Items,,Pcs,13B,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
29,Single Filament Bulb 24V 21W,,General Items,,Pcs,13B,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
30,Double Filament Bulb 24V 21 5W,,General Items,,Pcs,13B,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
31,Head Light Bulb,,General Items,,Pcs,13B,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
32,"Tread Seal .5""",,General Items,,Pcs,13C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
33,Selastic Gasket Maker,,General Items,,Pcs,13C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
34,Super Glue,,General Items,,Pcs,13C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
35,Tread Lock,,General Items,,Pcs,13C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
36,Insulatin Tape,,General Items,,Pcs,13C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
37,Break Oil 1L,,General Items,,Pcs,13C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
38,Break Oil 500ml,,General Items,,Pcs,13C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
39,Break Oil 355ml,,General Items,,Pcs,13C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
40,Break Oil DOT 5,,General Items,,Pcs,13C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
41,Parking Bulb 12V,,General Items,,Pcs,13C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
42,Parking Bulb 24V,,General Items,,Pcs,13C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
43,Regulator Rectifier,,General Items,,Pcs,13C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
44,Araldite,,General Items,,Pcs,13C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
45,Cup Brush,,General Items,,Pcs,13C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
46,Contact Cleaner,,General Items,,Pcs,13C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
47,Air Socket (6mm),,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
48,Air Socket (8mm),,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
49,Air Socket (10mm),,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
50,Air Socket (12mm),,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
51,Air Socket (14mm),,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
52,Air Socket (16mm),,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
53,Sand Paper(1000),,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
54,Sand Paper(2000),,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
55,Sand Paper(800),,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
56,Sand Paper(400),,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
57,Sand Paper(320),,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
58,Sand Paper(150),,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
59,Sand Paper(120),,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
60,Sand Paper(100),,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
61,Relay Holder 5 Pin,,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
62,Fuse Holder,,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
63,Bulb Holder,,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
64,Cable Tie,,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
65,CV Grease,,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
66,Oxigen Welding Rode,,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
67,Brass Welding Rode,,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
68,Masking Tape,,General Consumables,Standard,Roll,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
69,Battery Water,,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
70,Silicon,,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
71,ON OFF Switch,,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
72,Auto WIre,,General Items,,Pcs,1C,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
73,Hour Meter,,General Items,,Pcs,3D,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
74,Thinner,,General Items,,Pcs,Paint Yard,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
75,Petrol,,General Items,,Pcs,Paint Yard,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
76,Diesel,,General Items,,Pcs,Paint Yard,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
77,Car Wash,,General Items,,Pcs,Paint Yard,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
78,WD-40,,General Items,,Pcs,Paint Yard,0.0,,2026-06-23T05:43:01.188Z,2026-06-23T05:43:01.188Z
