id,issueDate,issueDateISO,vehicleMachinery,itemName,itemDesc,qty,category,issuedTo,issuedBy,mrnNum,purchaseSource,notes,createdAt,updatedAt
8,2026-06-05,2026-06-05,LI-3851,Stop Cable 1615,,1.0,Electrical,Ruwan,Priyankara,166976,,,2026-06-05T10:35:00.972Z,2026-06-05T10:35:00.972Z
11,2026-06-05,2026-06-05,LI-3851,Stop Cable 1615,,1.0,Electrical,Ruwan,Priyankara,166976,,,2026-06-05T11:17:54.900Z,2026-06-05T11:17:54.900Z
12,2026-06-04,2026-06-04,HEX-21,Engine Machine Work - Edirisinghe,,1.0,General Items,Anura,Priyankara,167159,,,2026-06-05T11:19:09.925Z,2026-06-05T11:19:09.925Z
13,2026-06-04,2026-06-04,LB-4824,Starter Motor Solanoid,,1.0,Electrical,,Priyankara,166962,,,2026-06-05T11:20:05.361Z,2026-06-05T11:20:28.525Z
14,2026-06-05,2026-06-05,HEX - 21,Valve Guid Set,,1.0,General Items,Anura,Priyankara,167158,,,2026-06-05T11:23:50.920Z,2026-06-05T11:23:50.920Z
15,2026-06-05,2026-06-05,HEX - 21,Water Pump,,1.0,General Items,Anura,Priyankara,167158,,,2026-06-05T11:25:29.521Z,2026-06-05T11:25:29.521Z
16,2026-06-05,2026-06-05,HEX - 21,Front Crank Oil Seal,,1.0,Bearings & Seals,Anura,Priyankara,167158,,,2026-06-05T11:26:15.678Z,2026-06-05T11:26:15.678Z
17,2026-06-05,2026-06-05,HEX - 21,Front Crank Oil Seal,,1.0,Bearings & Seals,Anura,Priyankara,167158,,,2026-06-05T11:43:27.176Z,2026-06-05T11:43:27.176Z
18,2026-06-05,2026-06-05,HEX - 21,Valve Stem Seal Set,,1.0,Bearings & Seals,Anura,Priyankara,167158,,,2026-06-05T11:44:24.085Z,2026-06-05T11:44:24.085Z
19,2026-06-05,2026-06-05,HEX - 21,Overhaul Gasket Kit,,1.0,Bearings & Seals,Anura,Priyankara,167158,,,2026-06-05T11:45:19.305Z,2026-06-05T11:45:19.305Z
20,2026-06-05,2026-06-05,HEX - 21,Fan Belt (8480),,1.0,Belts,Anura,Priyankara,167158,,,2026-06-05T11:45:54.692Z,2026-06-05T11:45:54.692Z
21,2026-06-04,2026-06-04,HEX - 21,Sleeve Set,,1.0,General Items,Anura,Priyankara,167157,,,2026-06-05T11:46:45.683Z,2026-06-05T11:46:45.683Z
22,2026-06-04,2026-06-04,HEX - 21,Piston Set,,1.0,General Items,Anura,Priyankara,167157,,,2026-06-05T11:47:44.110Z,2026-06-05T11:47:44.110Z
23,2026-06-04,2026-06-04,HEX - 21,Piston Ring Set,,1.0,General Items,Anura,Priyankara,167157,,,2026-06-05T12:32:52.684Z,2026-06-05T12:32:52.684Z
24,2026-06-04,2026-06-04,HEX - 21,Main Bearing Set,,1.0,Bearings & Seals,Anura,Priyankara,167157,,,2026-06-05T12:33:40.106Z,2026-06-05T12:33:40.106Z
25,2026-06-04,2026-06-04,HEX - 21,Main Bearing Set,,1.0,Bearings & Seals,Anura,Priyankara,167157,,,2026-06-05T12:34:05.890Z,2026-06-05T12:34:05.890Z
26,2026-06-04,2026-06-04,HEX - 21,Big end Bearing Set,,1.0,Bearings & Seals,Anura,Priyankara,167157,,,2026-06-05T12:34:54.446Z,2026-06-05T12:44:46.289Z
27,2026-06-04,2026-06-04,HEX - 21,Thrust Bearing Set,,1.0,Bearings & Seals,Anura,Priyankara,167157,,,2026-06-05T12:42:33.095Z,2026-06-05T12:44:39.003Z
28,2026-06-04,2026-06-04,HEX - 21,Cam. Rod Bush Set,,1.0,Bearings & Seals,Anura,Priyankara,167157,,,2026-06-05T12:43:31.564Z,2026-06-05T12:43:31.564Z
29,2026-06-04,2026-06-04,HEX - 21,Cam. Bush Set,,1.0,Bearings & Seals,Anura,Priyankara,167157,,,2026-06-05T12:44:24.200Z,2026-06-05T12:44:24.200Z
30,2026-06-04,2026-06-04,HEX - 21,Valve Set,,1.0,General Items,Anura,Priyankara,167157,,,2026-06-05T12:46:15.123Z,2026-06-05T12:46:15.123Z
31,2026-06-04,2026-06-04,HEX - 21,Valve Seal Set,,1.0,Bearings & Seals,Anura,Priyankara,167157,,,2026-06-05T12:46:48.745Z,2026-06-05T12:46:48.745Z
32,2026-06-03,2026-06-03,PA-4879,Bearing (L) JLM104910,,2.0,Bearings & Seals,Ruwan,Priyankara,166966,,,2026-06-05T13:02:25.544Z,2026-06-05T13:06:20.695Z
33,2026-06-03,2026-06-03,PA-4879,Bearing LM102910,,2.0,General Items,Ruwan,Priyankara,166966,,,2026-06-05T13:03:07.797Z,2026-06-05T13:06:05.670Z
34,2026-06-03,2026-06-03,PA-4879,Hub Seal,,2.0,Bearings & Seals,Ruwan,Priyankara,166966,,,2026-06-05T13:04:01.317Z,2026-06-05T13:05:59.044Z
35,2026-06-03,2026-06-03,PH-6744,Horn,,1.0,Electrical,Krishna,Priyankara,166965,,,2026-06-05T13:05:13.341Z,2026-06-05T13:05:13.341Z
