item_no,item_name,category,kind,requests,part_numbers,merged_from
BAT-0001,Battery,Battery,part,50,Remount-Ly-1614,100 Amp Battery | 100Amp New Battery | 120 Battery | 120/90 Ah battery | 120A Battery | 120Ah 12V New Battery | 120Ah New Battery | 120Amp New Battery | 12V 100Ah New Battery | 12V 150Ah Battery | 12V 90Ah battery | 12V 95Ah New Battery | 12V/100A battery | 12V/120Ah battery | 12V/65Ah battery | 12V/65Amp New Battery | 150 AMP New Battery | 150 Amp Battery | 150Ah New Battery | 195 Amp New Battery | 65Ah New Battery | 70 Amp New Battery | 90Ah 12V New Battery | 95 Amp Battery | 95Ah 12V New Battery | 95Ah New Battery | 95Amp New Battery | 95Amp/12V Battery | Battery | 45 Amp battey
BAT-0002,Battery Terminal,Battery,part,13,,Battery Terminal (Butterfly) | Battery Terminal (Normal) | Battery Terminal (+/-) | Battery Terminal (Butterfly Type) | Battery Terminal (Normal Type) | Battery terminal Pole type (+)
BAT-0003,Battery Water,Battery,consumable,5,,Battery Water
BDY-0001,Wiper Blade,Body & Cabin,part,23,24,1. Wiper Blade | Viper Blade | Wiper Blade
BDY-0002,Door Lock,Body & Cabin,part,14,,Door Lock (Front) | Door Lock | Door Lock New | Door Lock L/P | Door Lock (L/R) | Door Lock (Rear) | Door Lock (Rear Right)
BDY-0003,Side Mirror,Body & Cabin,part,13,,Side mirror (Ball) | Door Side Mirror | Side Mirror | Side Mirror (L/R) | Side Mirror (R) | Side Mirror (R/side) | Side mirror (Small)
BDY-0004,Window Winder Handle,Body & Cabin,part,12,,Door Winder Handle | Winder Handle
BDY-0005,Door Handle,Body & Cabin,part,11,,Door Handle | Door Inner Handle | Dual Door Handle | Side Door Handle | Door Handle (Inside) | Door Handle (Outer) | Door Handle (L/R) | Out Door Handle (R) | Door Handle (Rear)
BDY-0006,Speedometer Cable,Body & Cabin,part,11,,Meter Cable | Speed meter cable | Speedo Meter Cable | Speedometer Cable | Speedometa coble
BDY-0007,Window Winder,Body & Cabin,part,10,,Door Winder | Glass Winder | Winder
BDY-0008,Floor Carpet,Body & Cabin,part,8,6/1/26,Apposting work floor board carpet | Carpet | Floor Carpet | Flow Carpet | Upsitting works floor board carpet | Floor Carpet ( Front / Rear )
BDY-0009,Seat Belt,Body & Cabin,part,7,,Seat Belt | Seat Belt (Passenger & Drw) | Seat Belt R | Seat Belt Received
BDY-0010,Bonnet Cable,Body & Cabin,part,5,,Bonet Cable | Bonnet Cable
BDY-0011,Door Lock Handle,Body & Cabin,part,5,,Door Lock Handle | Door Lock in side Handle | Door lock handle (Outer/Inner)
BDY-0012,Gear Lever Boot,Body & Cabin,part,5,,Gear Boot | Gear Liver Boot | Gear lever boot | Great Liver Boots
BDY-0013,Wiper Arm,Body & Cabin,part,5,,Wiper Arm
BDY-0014,Fuel Tank Cap,Body & Cabin,part,4,,Diesel Tank Cap | Fuel Tank Cap | Diesel cup | Fuel Tank cup
BDY-0015,Wiper Arm with Blade,Body & Cabin,part,4,,Wiper Blade with Arm | Wiper Arm with Balde | Wiper Arm With Blade | Wipper Arm With Blade
BDY-0016,Canopy,Body & Cabin,part,3,,Canopy
BDY-0017,Corner Panel,Body & Cabin,part,3,,Coner pannel
BDY-0018,Mud Cover,Body & Cabin,part,3,,Mud Cover | Mud cover (Rear / Front) | Mud Cover (R)
BDY-0019,Mudguard Cover,Body & Cabin,part,3,,Mud Cover (F) | Mudguard Cover L/R Fiber
BDY-0020,Bonnet Shock Absorber,Body & Cabin,part,2,,Bonet shockabsoer | Bonet SocketShober
BDY-0021,Door Beading,Body & Cabin,part,2,2nd entry,Door Beading
BDY-0022,Head Light Bracket,Body & Cabin,part,2,,Head Light Bracket | Head lamp bracket
BDY-0023,Steering Wheel Cover,Body & Cabin,part,2,,Steering Wheel Cover
BDY-0024,Arm Blade,Body & Cabin,part,1,,Arm Blade
BDY-0025,Ball Mirror,Body & Cabin,part,1,,Ball Mirror
BDY-0026,Beading,Body & Cabin,part,1,,Beeding
BDY-0027,Bobcat Lever Handle,Body & Cabin,part,1,,Bobcat Lever Handle (Stainless Steel)
BDY-0028,Bonnet Buffer,Body & Cabin,part,1,,Bonet Buffer
BDY-0029,Bonnet Hinge,Body & Cabin,part,1,,Bonet Hingers
BDY-0030,Bonnet Jack,Body & Cabin,part,1,,Bonet Jack
BDY-0031,Bonnet Lock,Body & Cabin,part,1,,Bonet Lock
BDY-0032,Cab Mount,Body & Cabin,part,1,,Cab Mount
BDY-0033,Diesel Tank Cap Key,Body & Cabin,part,1,,Diesel Tank Cup Key (Cummer)
BDY-0034,Door A-Post,Body & Cabin,part,1,6/1/25,Door Aposting
BDY-0035,Door Cover,Body & Cabin,part,1,,Door cover
BDY-0036,Door Handle Bolt,Body & Cabin,part,1,,Door Handle Bolt
BDY-0037,Door Inner Cup,Body & Cabin,part,1,,Door Inner Cup
BDY-0038,Door Lock Pin,Body & Cabin,part,1,,Door Lock Pin
BDY-0039,Door Spring,Body & Cabin,part,1,,Door Spring — Whare House Project
BDY-0040,Door Upholstery,Body & Cabin,part,1,,Door Uphosting (R)
BDY-0041,Door Winder,Body & Cabin,part,1,,Door Winder with roll
BDY-0042,Door Winder Handle,Body & Cabin,part,1,,Winder Handle (Door)
BDY-0043,Dust Cover,Body & Cabin,part,1,,Dust Cover
