id,mrnNum,reqDate,reqDateISO,vehicleMachinery,itemName,itemDesc,reqQty,category,createdAt,updatedAt
5909,140401,10/11/2025,2025-10-11,LM-6658,100 Amp Battery,,2.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5910,140402,12/27/2025,2025-12-27,PA-4879,12V/90Ah battery,,1.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5911,140403,12/30/2025,2025-12-30,57-3062,12V/65Amp New Battery,,1.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5912,140404,12/31/2025,2025-12-31,325-5120,120A Battery,,2.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5913,140405,1/13/2026,2026-01-13,LK-6738,12V/100A battery,,1.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5914,140406,1/13/2026,2026-01-13,LP-1569,12V/150Ah battery,,2.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5915,140407,1/19/2026,2026-01-19,AP-09,120/90 Ah battery,,1.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5916,140408,1/21/2026,2026-01-21,PV-6889,12V/90Ah battery,,1.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5917,140409,1/25/2026,2026-01-25,LP-1578,150 AMP New Battery,,2.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5918,140410,1/20/2026,2026-01-20,ZA-7290,12V/120Ah battery,,1.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5919,140411,1/30/2026,2026-01-30,51-7158,12V/65Ah battery,,1.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5920,140412,2/18/2026,2026-02-18,LP-1710,150 Amp New Battery,,2.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5921,140413,2/19/2026,2026-02-19,ZA-6395,100Amp New Battery,,2.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5922,140414,2/19/2026,2026-02-19,LL-0690,195 Amp New Battery,,2.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5923,140415,2/19/2026,2026-02-19,LT-1614,70 Amp New Battery,,2.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5924,140416,2/19/2026,2026-02-19,LI-7620,150 Amp Battery,,1.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5925,140417,2/19/2026,2026-02-19,LK-4058,95 Amp Battery,,2.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5926,140418,2/19/2026,2026-02-19,LI-3851,70 Amp New Battery,,1.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5927,140419,2/19/2026,2026-02-19,GE-126,45 Amp battey,,1.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5928,140420,2/27/2026,2026-02-27,LL-0690,12V 90Ah battery,,2.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5929,140421,2/27/2026,2026-02-27,28-4314,12V 90Ah battery,,1.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5930,140422,3/5/2026,2026-03-05,VR-53,12V 90Ah battery,,1.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5931,140423,3/16/2026,2026-03-16,LD-08,12V 90Ah battery,,2.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5932,140424,4/25/2026,2026-04-25,SL-15,12V 90Ah battery,,1.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5933,140425,4/25/2026,2026-04-25,LL-1782,12V 150Ah Battery,,2.0,Battery,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5934,140451,12/11/2025,2025-12-11,SL-11,Air Filter (JS-3700),,1.0,Filters,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5935,140452,12/13/2025,2025-12-13,PTR-10,Air Filter (A-1064),,1.0,Filters,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5936,140453,12/15/2025,2025-12-15,PA-4194,Air Filter (A-5403),,1.0,Filters,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5937,140454,12/15/2025,2025-12-15,GE-69,Air Filter (JS-3522A),,1.0,Filters,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5938,140455,12/15/2025,2025-12-15,HEX-01,Oil Filter (3931236),,1.0,Filters,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
5939,140455,12/15/2025,2025-12-15,HEX-01,Fuel Filter (11110683),,1.0,Filters,2026-06-03T12:22:29.178Z,2026-06-03T12:22:29.178Z
