id,transferDate,transferDateISO,mtnNum,itemName,itemDesc,qty,category,fromLocation,toLocation,transferredBy,receivedBy,mrnNum,notes,createdAt,updatedAt
9,2026-06-08,2026-06-08,MTN-TEST-100,Hydraulic Oil 15W40,,25.0,Consumables,Main Store,Excavator 02,Storekeeper A,Driver B,,Refill hydraulic system (updated qty),2026-06-23T05:54:05.687Z,2026-06-23T05:54:05.699Z
18,2026-01-02,2026-01-02,64992,12v/90Ah Battery,Ser No M150563037,1.0,Battery,PA-4879,Main Stores,RSD Pathinayake,Bandara,,For Warrenty,2026-06-24T13:51:15.438Z,2026-06-24T13:51:15.438Z
19,2026-01-02,2026-01-02,64993,12V/90Ah Battery,Ser No M230002093,1.0,Battery,LK-4061,Main Store,RSD Pathinayake,Bandara,,For Dispose,2026-06-24T14:04:53.746Z,2026-06-24T14:04:53.746Z
20,2026-01-02,2026-01-02,64993,12V / 120Ah Battery,Sr No M230072146,1.0,Battery,ZA-7290,Main Stores,RSD Pathinayake,Bandara,,For Dispose,2026-06-24T14:10:51.865Z,2026-06-24T14:10:51.865Z
21,2026-01-02,2026-01-02,64994,Brake Pad Set,With Sample,1.0,General Items,PI-3982,CEP-03 Wadakada Machanic,Bandula,Thilina,,,2026-06-24T14:13:42.946Z,2026-06-24T14:13:42.946Z
22,2026-01-07,2026-01-07,64994,Brake Pad Lock,with Samplle,1.0,General Items,PI-3982,CEP-03 Wadakada Machanic,Bandula,Thilina,,,2026-06-24T14:14:51.859Z,2026-06-24T14:14:51.859Z
23,2026-01-07,2026-01-07,64994,Brake Disc,with Sample,2.0,General Items,PI-3982,CEP-03 Wadakada Machanic,Bandula,Thilina,,,2026-06-24T14:24:06.758Z,2026-06-24T14:24:06.758Z
24,2026-01-02,2026-01-02,64994,Wheel Stud & Nut,with sample,3.0,Tyre,PI-3982,CEP-03 Wadakada Machanic,Bandula,Thilina,,,2026-06-24T14:29:34.988Z,2026-06-24T14:29:34.988Z
25,2025-04-11,2025-04-11,64951,Dash Board,,1.0,General Items,Work Shop,CEP-03 Wadakada Machanic,Bandula,Nishantha,,Sample,2026-06-25T09:04:40.786Z,2026-06-25T09:09:35.767Z
26,2025-04-11,2025-04-11,64951,Signal Cup,,2.0,General Items,Work SHop,CEP-03 Wadakada Machanic,Bandula,Nishantha,,Sample,2026-06-25T09:08:52.038Z,2026-06-25T09:09:25.552Z
27,2025-04-11,2025-04-11,64952,Starter Motor,,1.0,General Items,253-2574,Batticoloa,Bandula,Nuwan,,,2026-06-25T09:11:12.571Z,2026-06-25T09:11:37.734Z
